approach,dataname,pd,prec,f1,accuracy
rose,Derby,0.17,0.33,0.22,0.86
rose,Derby,0.17,0.32,0.22,0.86
rose,Derby,0.18,0.35,0.24,0.86
rose,Derby,0.19,0.38,0.25,0.87
rose,Derby,0.19,0.33,0.24,0.86
rose,Derby,0.14,0.26,0.18,0.85
rose,Derby,0.17,0.3,0.21,0.85
rose,Derby,0.19,0.36,0.25,0.86
rose,Derby,0.17,0.31,0.22,0.86
rose,Derby,0.19,0.34,0.24,0.86
rose,Derby,0.19,0.37,0.25,0.86
rose,Derby,0.2,0.35,0.26,0.86
rose,Derby,0.18,0.41,0.25,0.87
rose,Derby,0.17,0.32,0.22,0.86
rose,Derby,0.17,0.31,0.22,0.86
rose,Derby,0.17,0.32,0.22,0.86
rose,Derby,0.17,0.31,0.22,0.86
rose,Derby,0.16,0.28,0.2,0.85
rose,Derby,0.19,0.3,0.23,0.85
rose,Derby,0.15,0.29,0.19,0.85
rose,Derby,0.14,0.25,0.18,0.85
rose,Derby,0.2,0.38,0.26,0.87
rose,Derby,0.18,0.33,0.23,0.86
rose,Derby,0.18,0.33,0.23,0.86
rose,Derby,0.18,0.31,0.23,0.85
rose,Derby,0.18,0.33,0.23,0.86
rose,Derby,0.16,0.29,0.21,0.85
rose,Derby,0.15,0.29,0.19,0.85
rose,Derby,0.18,0.33,0.23,0.86
rose,Derby,0.19,0.36,0.25,0.86
rose,Derby,0.18,0.31,0.23,0.86
rose,Derby,0.16,0.3,0.21,0.86
rose,Derby,0.17,0.35,0.23,0.86
rose,Derby,0.17,0.3,0.22,0.85
rose,Derby,0.16,0.29,0.2,0.85
rose,Derby,0.2,0.39,0.26,0.87
rose,Derby,0.19,0.36,0.25,0.86
rose,Derby,0.18,0.32,0.23,0.86
rose,Derby,0.17,0.33,0.22,0.86
rose,Derby,0.19,0.35,0.25,0.86
rose,Derby,0.19,0.32,0.24,0.86
rose,Derby,0.19,0.36,0.25,0.86
rose,Derby,0.18,0.33,0.23,0.86
rose,Derby,0.18,0.32,0.23,0.86
rose,Derby,0.16,0.3,0.21,0.86
rose,Derby,0.17,0.29,0.21,0.85
rose,Derby,0.15,0.28,0.19,0.85
rose,Derby,0.14,0.27,0.18,0.85
rose,Derby,0.18,0.33,0.23,0.86
rose,Derby,0.15,0.25,0.19,0.85
