approach,dataname,pd,prec,f1,accuracy
rose,Chromium,0.5,0.4,0.45,0.97
rose,Chromium,0.54,0.45,0.49,0.98
rose,Chromium,0.51,0.43,0.47,0.97
rose,Chromium,0.55,0.41,0.47,0.97
rose,Chromium,0.54,0.35,0.43,0.97
rose,Chromium,0.57,0.55,0.56,0.98
rose,Chromium,0.54,0.46,0.5,0.98
rose,Chromium,0.48,0.43,0.46,0.97
rose,Chromium,0.58,0.4,0.47,0.97
rose,Chromium,0.52,0.41,0.46,0.97
rose,Chromium,0.51,0.48,0.49,0.98
rose,Chromium,0.53,0.45,0.48,0.98
rose,Chromium,0.49,0.4,0.44,0.97
rose,Chromium,0.53,0.46,0.49,0.98
rose,Chromium,0.52,0.38,0.44,0.97
rose,Chromium,0.53,0.38,0.45,0.97
rose,Chromium,0.55,0.35,0.43,0.97
rose,Chromium,0.54,0.44,0.48,0.97
rose,Chromium,0.57,0.43,0.49,0.97
rose,Chromium,0.54,0.39,0.45,0.97
rose,Chromium,0.51,0.42,0.46,0.97
rose,Chromium,0.52,0.46,0.49,0.98
rose,Chromium,0.55,0.39,0.45,0.97
rose,Chromium,0.5,0.42,0.46,0.97
rose,Chromium,0.5,0.4,0.45,0.97
rose,Chromium,0.55,0.44,0.49,0.98
rose,Chromium,0.58,0.36,0.44,0.97
rose,Chromium,0.58,0.49,0.53,0.98
rose,Chromium,0.56,0.43,0.49,0.97
rose,Chromium,0.55,0.44,0.49,0.97
rose,Chromium,0.49,0.39,0.44,0.97
rose,Chromium,0.59,0.53,0.56,0.98
rose,Chromium,0.53,0.45,0.49,0.98
rose,Chromium,0.54,0.41,0.47,0.97
rose,Chromium,0.51,0.33,0.4,0.97
rose,Chromium,0.53,0.37,0.44,0.97
rose,Chromium,0.5,0.4,0.45,0.97
rose,Chromium,0.51,0.5,0.5,0.98
rose,Chromium,0.55,0.47,0.51,0.98
rose,Chromium,0.51,0.31,0.39,0.96
rose,Chromium,0.5,0.43,0.47,0.97
rose,Chromium,0.53,0.45,0.49,0.98
rose,Chromium,0.5,0.38,0.43,0.97
rose,Chromium,0.53,0.41,0.46,0.97
rose,Chromium,0.53,0.46,0.49,0.98
rose,Chromium,0.5,0.48,0.49,0.98
rose,Chromium,0.52,0.48,0.5,0.98
rose,Chromium,0.55,0.38,0.45,0.97
rose,Chromium,0.55,0.32,0.4,0.96
rose,Chromium,0.47,0.52,0.49,0.98
