approach,dataname,pd,prec,f1,accuracy
rose,Camel,0.03,0.22,0.05,0.91
rose,Camel,0.03,0.2,0.05,0.91
rose,Camel,0.03,0.25,0.05,0.91
rose,Camel,0.02,0.12,0.03,0.91
rose,Camel,0.02,0.11,0.03,0.91
rose,Camel,0.03,0.2,0.05,0.91
rose,Camel,0.03,0.2,0.05,0.91
rose,Camel,0.02,0.11,0.03,0.91
rose,Camel,0.0,0.0,0,0.91
rose,Camel,0.0,0.0,0,0.91
rose,Camel,0.03,0.29,0.06,0.92
rose,Camel,0.02,0.1,0.03,0.91
rose,Camel,0.11,0.3,0.16,0.91
rose,Camel,0.03,0.2,0.05,0.91
rose,Camel,0.03,0.25,0.05,0.91
rose,Camel,0.03,0.2,0.05,0.91
rose,Camel,0.03,0.29,0.06,0.92
rose,Camel,0.0,0.0,0,0.91
rose,Camel,0.03,0.25,0.05,0.91
rose,Camel,0.02,0.11,0.03,0.91
rose,Camel,0.05,0.25,0.08,0.91
rose,Camel,0.03,0.25,0.05,0.91
rose,Camel,0.03,0.2,0.05,0.91
rose,Camel,0.03,0.33,0.06,0.92
rose,Camel,0.02,0.14,0.03,0.91
rose,Camel,0.02,0.11,0.03,0.91
rose,Camel,0.03,0.22,0.05,0.91
rose,Camel,0.0,0.0,0,0.91
rose,Camel,0.02,0.11,0.03,0.91
rose,Camel,0.03,0.22,0.05,0.91
rose,Camel,0.06,0.22,0.1,0.91
rose,Camel,0.0,0.0,0,0.91
rose,Camel,0.03,0.18,0.05,0.91
rose,Camel,0.03,0.22,0.05,0.91
rose,Camel,0.03,0.18,0.05,0.91
rose,Camel,0.0,0.0,0,0.91
rose,Camel,0.0,0.0,0,0.91
rose,Camel,0.02,0.09,0.03,0.91
rose,Camel,0.03,0.18,0.05,0.91
rose,Camel,0.03,0.25,0.05,0.91
rose,Camel,0.05,0.21,0.08,0.91
rose,Camel,0.03,0.22,0.05,0.91
rose,Camel,0.03,0.18,0.05,0.91
rose,Camel,0.03,0.25,0.05,0.91
rose,Camel,0.02,0.14,0.03,0.91
rose,Camel,0.06,0.25,0.1,0.91
rose,Camel,0.03,0.22,0.05,0.91
rose,Camel,0.02,0.11,0.03,0.91
rose,Camel,0.03,0.25,0.05,0.91
rose,Camel,0.06,0.31,0.1,0.91
