approach,dataname,pd,prec,f1,accuracy
rose,Derby,0.2,0.32,0.24,0.86
rose,Derby,0.23,0.33,0.27,0.86
rose,Derby,0.24,0.35,0.28,0.86
rose,Derby,0.19,0.45,0.27,0.88
rose,Derby,0.27,0.37,0.32,0.86
rose,Derby,0.05,0.26,0.08,0.86
rose,Derby,0.08,0.21,0.12,0.85
rose,Derby,0.1,0.26,0.15,0.85
rose,Derby,0.23,0.3,0.26,0.85
rose,Derby,0.15,0.2,0.17,0.83
rose,Derby,0.26,0.38,0.31,0.86
rose,Derby,0.33,0.35,0.34,0.86
rose,Derby,0.11,0.28,0.16,0.86
rose,Derby,0.23,0.5,0.31,0.89
rose,Derby,0.1,0.2,0.13,0.85
rose,Derby,0.14,0.19,0.16,0.83
rose,Derby,0.27,0.46,0.34,0.88
rose,Derby,0.21,0.36,0.27,0.86
rose,Derby,0.16,0.29,0.21,0.86
rose,Derby,0.28,0.25,0.26,0.84
rose,Derby,0.11,0.34,0.17,0.87
rose,Derby,0.22,0.55,0.32,0.88
rose,Derby,0.33,0.3,0.31,0.85
rose,Derby,0.18,0.55,0.27,0.89
rose,Derby,0.18,0.26,0.21,0.86
rose,Derby,0.31,0.48,0.37,0.87
rose,Derby,0.19,0.37,0.25,0.86
rose,Derby,0.2,0.47,0.29,0.88
rose,Derby,0.17,0.52,0.26,0.89
rose,Derby,0.03,0.17,0.05,0.86
rose,Derby,0.15,0.25,0.19,0.85
rose,Derby,0.14,0.33,0.2,0.87
rose,Derby,0.16,0.34,0.22,0.87
rose,Derby,0.19,0.56,0.28,0.88
rose,Derby,0.2,0.32,0.24,0.86
rose,Derby,0.23,0.24,0.23,0.84
rose,Derby,0.18,0.53,0.27,0.89
rose,Derby,0.27,0.39,0.32,0.87
rose,Derby,0.27,0.31,0.29,0.84
rose,Derby,0.3,0.46,0.36,0.88
rose,Derby,0.08,0.26,0.12,0.86
rose,Derby,0.28,0.27,0.28,0.84
rose,Derby,0.07,0.33,0.12,0.87
rose,Derby,0.25,0.42,0.31,0.88
rose,Derby,0.28,0.37,0.32,0.87
rose,Derby,0.11,0.44,0.18,0.88
rose,Derby,0.14,0.34,0.2,0.87
rose,Derby,0.16,0.23,0.19,0.85
rose,Derby,0.37,0.29,0.32,0.83
rose,Derby,0.13,0.2,0.16,0.84
