approach,dataname,pd,prec,f1,accuracy
rose,Chromium,0.38,0.43,0.4,0.98
rose,Chromium,0.39,0.34,0.36,0.97
rose,Chromium,0.34,0.35,0.35,0.97
rose,Chromium,0.38,0.43,0.4,0.98
rose,Chromium,0.45,0.44,0.44,0.98
rose,Chromium,0.39,0.46,0.42,0.98
rose,Chromium,0.38,0.47,0.42,0.98
rose,Chromium,0.36,0.44,0.4,0.98
rose,Chromium,0.47,0.43,0.45,0.97
rose,Chromium,0.39,0.37,0.38,0.97
rose,Chromium,0.34,0.4,0.37,0.97
rose,Chromium,0.39,0.34,0.36,0.97
rose,Chromium,0.38,0.39,0.38,0.97
rose,Chromium,0.46,0.37,0.41,0.97
rose,Chromium,0.4,0.46,0.43,0.98
rose,Chromium,0.44,0.45,0.45,0.98
rose,Chromium,0.42,0.42,0.42,0.97
rose,Chromium,0.36,0.4,0.38,0.97
rose,Chromium,0.47,0.39,0.42,0.97
rose,Chromium,0.42,0.43,0.42,0.98
rose,Chromium,0.43,0.43,0.43,0.98
rose,Chromium,0.4,0.38,0.39,0.97
rose,Chromium,0.42,0.46,0.44,0.98
rose,Chromium,0.39,0.45,0.42,0.98
rose,Chromium,0.39,0.34,0.36,0.97
rose,Chromium,0.41,0.44,0.42,0.98
rose,Chromium,0.41,0.42,0.42,0.97
rose,Chromium,0.41,0.46,0.44,0.98
rose,Chromium,0.38,0.33,0.35,0.97
rose,Chromium,0.39,0.37,0.38,0.97
rose,Chromium,0.4,0.48,0.43,0.98
rose,Chromium,0.35,0.42,0.38,0.98
rose,Chromium,0.39,0.46,0.42,0.98
rose,Chromium,0.38,0.44,0.41,0.98
rose,Chromium,0.42,0.31,0.36,0.97
rose,Chromium,0.36,0.41,0.39,0.97
rose,Chromium,0.45,0.45,0.45,0.98
rose,Chromium,0.39,0.48,0.43,0.98
rose,Chromium,0.37,0.39,0.38,0.97
rose,Chromium,0.44,0.49,0.46,0.98
rose,Chromium,0.48,0.37,0.42,0.97
rose,Chromium,0.37,0.44,0.4,0.98
rose,Chromium,0.42,0.42,0.42,0.97
rose,Chromium,0.42,0.39,0.4,0.97
rose,Chromium,0.45,0.36,0.4,0.97
rose,Chromium,0.39,0.39,0.39,0.97
rose,Chromium,0.35,0.33,0.34,0.97
rose,Chromium,0.43,0.4,0.41,0.97
rose,Chromium,0.43,0.29,0.35,0.96
rose,Chromium,0.37,0.36,0.36,0.97
