approach,dataname,pd,prec,f1,accuracy
rose,Derby,0.36,0.22,0.27,0.77
rose,Derby,0.36,0.21,0.26,0.76
rose,Derby,0.35,0.2,0.26,0.76
rose,Derby,0.37,0.2,0.26,0.75
rose,Derby,0.34,0.2,0.25,0.76
rose,Derby,0.36,0.2,0.26,0.76
rose,Derby,0.36,0.2,0.26,0.76
rose,Derby,0.32,0.18,0.23,0.75
rose,Derby,0.38,0.2,0.26,0.75
rose,Derby,0.37,0.2,0.26,0.75
rose,Derby,0.35,0.2,0.25,0.76
rose,Derby,0.34,0.2,0.25,0.76
rose,Derby,0.36,0.2,0.26,0.75
rose,Derby,0.34,0.21,0.26,0.77
rose,Derby,0.34,0.19,0.24,0.75
rose,Derby,0.36,0.19,0.25,0.75
rose,Derby,0.34,0.21,0.26,0.77
rose,Derby,0.33,0.21,0.26,0.78
rose,Derby,0.37,0.2,0.26,0.75
rose,Derby,0.36,0.21,0.26,0.76
rose,Derby,0.37,0.2,0.26,0.76
rose,Derby,0.34,0.21,0.25,0.77
rose,Derby,0.34,0.2,0.25,0.76
rose,Derby,0.33,0.21,0.26,0.78
rose,Derby,0.35,0.2,0.26,0.76
rose,Derby,0.34,0.2,0.25,0.76
rose,Derby,0.33,0.2,0.25,0.77
rose,Derby,0.36,0.21,0.27,0.77
rose,Derby,0.33,0.21,0.25,0.77
rose,Derby,0.35,0.2,0.25,0.76
rose,Derby,0.38,0.21,0.27,0.75
rose,Derby,0.34,0.2,0.25,0.76
rose,Derby,0.32,0.2,0.24,0.77
rose,Derby,0.37,0.2,0.26,0.75
rose,Derby,0.36,0.19,0.24,0.74
rose,Derby,0.34,0.2,0.25,0.77
rose,Derby,0.36,0.2,0.26,0.76
rose,Derby,0.35,0.19,0.25,0.75
rose,Derby,0.36,0.2,0.25,0.75
rose,Derby,0.34,0.2,0.25,0.76
rose,Derby,0.36,0.2,0.25,0.75
rose,Derby,0.34,0.2,0.25,0.76
rose,Derby,0.32,0.21,0.25,0.78
rose,Derby,0.33,0.21,0.26,0.78
rose,Derby,0.31,0.2,0.24,0.77
rose,Derby,0.33,0.2,0.25,0.77
rose,Derby,0.34,0.21,0.26,0.77
rose,Derby,0.36,0.19,0.25,0.74
rose,Derby,0.36,0.2,0.26,0.75
rose,Derby,0.35,0.2,0.26,0.76
