approach,dataname,pd,prec,f1,accuracy
rose,Chromium,0.51,0.15,0.24,0.93
rose,Chromium,0.54,0.15,0.23,0.92
rose,Chromium,0.47,0.15,0.23,0.93
rose,Chromium,0.45,0.17,0.25,0.94
rose,Chromium,0.53,0.16,0.24,0.93
rose,Chromium,0.54,0.11,0.18,0.9
rose,Chromium,0.46,0.13,0.21,0.92
rose,Chromium,0.53,0.21,0.3,0.95
rose,Chromium,0.47,0.13,0.21,0.92
rose,Chromium,0.56,0.11,0.18,0.89
rose,Chromium,0.52,0.13,0.21,0.91
rose,Chromium,0.49,0.14,0.22,0.92
rose,Chromium,0.54,0.13,0.21,0.91
rose,Chromium,0.52,0.18,0.26,0.94
rose,Chromium,0.49,0.13,0.21,0.92
rose,Chromium,0.57,0.09,0.15,0.86
rose,Chromium,0.55,0.11,0.19,0.89
rose,Chromium,0.54,0.19,0.29,0.94
rose,Chromium,0.49,0.14,0.21,0.92
rose,Chromium,0.49,0.13,0.21,0.92
rose,Chromium,0.53,0.1,0.17,0.89
rose,Chromium,0.5,0.15,0.23,0.93
rose,Chromium,0.54,0.17,0.26,0.93
rose,Chromium,0.54,0.14,0.23,0.92
rose,Chromium,0.53,0.12,0.19,0.9
rose,Chromium,0.47,0.15,0.23,0.93
rose,Chromium,0.47,0.12,0.19,0.91
rose,Chromium,0.47,0.11,0.18,0.91
rose,Chromium,0.53,0.16,0.24,0.93
rose,Chromium,0.52,0.19,0.28,0.94
rose,Chromium,0.57,0.16,0.25,0.93
rose,Chromium,0.54,0.14,0.23,0.92
rose,Chromium,0.67,0.13,0.22,0.9
rose,Chromium,0.55,0.17,0.26,0.93
rose,Chromium,0.53,0.16,0.25,0.93
rose,Chromium,0.5,0.13,0.2,0.91
rose,Chromium,0.52,0.1,0.17,0.89
rose,Chromium,0.53,0.12,0.19,0.9
rose,Chromium,0.61,0.11,0.19,0.89
rose,Chromium,0.49,0.13,0.21,0.92
rose,Chromium,0.52,0.11,0.19,0.9
rose,Chromium,0.44,0.15,0.23,0.93
rose,Chromium,0.51,0.14,0.23,0.92
rose,Chromium,0.49,0.18,0.26,0.94
rose,Chromium,0.53,0.17,0.26,0.93
rose,Chromium,0.49,0.16,0.24,0.93
rose,Chromium,0.5,0.12,0.19,0.9
rose,Chromium,0.59,0.09,0.15,0.86
rose,Chromium,0.54,0.14,0.22,0.92
rose,Chromium,0.6,0.1,0.17,0.87
