approach,dataname,pd,prec,f1,accuracy
rose,Camel,0.22,0.56,0.31,0.92
rose,Camel,0.25,0.76,0.37,0.93
rose,Camel,0.17,0.55,0.26,0.92
rose,Camel,0.17,0.58,0.26,0.92
rose,Camel,0.2,0.68,0.31,0.93
rose,Camel,0.18,0.55,0.28,0.92
rose,Camel,0.2,0.52,0.29,0.92
rose,Camel,0.18,0.71,0.29,0.93
rose,Camel,0.12,0.67,0.21,0.92
rose,Camel,0.12,0.73,0.21,0.93
rose,Camel,0.23,0.65,0.34,0.93
rose,Camel,0.18,0.57,0.28,0.92
rose,Camel,0.2,0.52,0.29,0.92
rose,Camel,0.2,0.65,0.31,0.93
rose,Camel,0.17,0.48,0.25,0.92
rose,Camel,0.14,0.43,0.21,0.92
rose,Camel,0.17,0.61,0.27,0.92
rose,Camel,0.15,0.67,0.25,0.93
rose,Camel,0.14,0.43,0.21,0.92
rose,Camel,0.14,0.53,0.22,0.92
rose,Camel,0.22,0.58,0.31,0.92
rose,Camel,0.23,0.79,0.36,0.93
rose,Camel,0.18,0.92,0.31,0.93
rose,Camel,0.14,0.6,0.22,0.92
rose,Camel,0.17,0.55,0.26,0.92
rose,Camel,0.14,0.75,0.23,0.93
rose,Camel,0.22,0.54,0.31,0.92
rose,Camel,0.35,0.74,0.48,0.94
rose,Camel,0.12,0.47,0.2,0.92
rose,Camel,0.2,0.65,0.31,0.93
rose,Camel,0.22,0.93,0.35,0.94
rose,Camel,0.11,0.41,0.17,0.92
rose,Camel,0.18,0.6,0.28,0.92
rose,Camel,0.22,0.54,0.31,0.92
rose,Camel,0.15,0.71,0.25,0.93
rose,Camel,0.2,0.48,0.28,0.92
rose,Camel,0.18,0.6,0.28,0.92
rose,Camel,0.17,0.79,0.28,0.93
rose,Camel,0.25,0.67,0.36,0.93
rose,Camel,0.23,0.71,0.35,0.93
rose,Camel,0.15,0.62,0.25,0.92
rose,Camel,0.17,0.55,0.26,0.92
rose,Camel,0.15,0.5,0.24,0.92
rose,Camel,0.15,0.48,0.23,0.92
rose,Camel,0.17,0.48,0.25,0.92
rose,Camel,0.18,0.63,0.29,0.93
rose,Camel,0.14,0.47,0.21,0.92
rose,Camel,0.12,0.38,0.19,0.91
rose,Camel,0.17,0.69,0.27,0.93
rose,Camel,0.11,0.39,0.17,0.91
