approach,dataname,pd,prec,f1,accuracy
rose,Derby,0.15,0.47,0.22,0.88
rose,Derby,0.17,0.47,0.25,0.88
rose,Derby,0.19,0.56,0.28,0.89
rose,Derby,0.15,0.56,0.23,0.89
rose,Derby,0.21,0.57,0.31,0.89
rose,Derby,0.09,0.39,0.15,0.88
rose,Derby,0.17,0.46,0.25,0.88
rose,Derby,0.15,0.54,0.23,0.88
rose,Derby,0.16,0.38,0.22,0.87
rose,Derby,0.17,0.59,0.26,0.89
rose,Derby,0.16,0.54,0.24,0.88
rose,Derby,0.2,0.61,0.3,0.89
rose,Derby,0.21,0.5,0.3,0.88
rose,Derby,0.15,0.47,0.22,0.88
rose,Derby,0.13,0.55,0.21,0.88
rose,Derby,0.16,0.56,0.25,0.89
rose,Derby,0.18,0.68,0.28,0.89
rose,Derby,0.19,0.36,0.25,0.86
rose,Derby,0.2,0.59,0.3,0.89
rose,Derby,0.19,0.43,0.26,0.87
rose,Derby,0.18,0.5,0.26,0.88
rose,Derby,0.17,0.67,0.27,0.89
rose,Derby,0.17,0.43,0.24,0.88
rose,Derby,0.17,0.5,0.25,0.88
rose,Derby,0.18,0.63,0.28,0.89
rose,Derby,0.15,0.5,0.23,0.88
rose,Derby,0.21,0.57,0.31,0.89
rose,Derby,0.19,0.51,0.28,0.88
rose,Derby,0.22,0.46,0.3,0.88
rose,Derby,0.22,0.55,0.32,0.89
rose,Derby,0.22,0.55,0.32,0.89
rose,Derby,0.19,0.62,0.29,0.89
rose,Derby,0.21,0.61,0.31,0.89
rose,Derby,0.22,0.51,0.31,0.88
rose,Derby,0.23,0.56,0.33,0.89
rose,Derby,0.21,0.36,0.26,0.86
rose,Derby,0.18,0.5,0.26,0.88
rose,Derby,0.12,0.55,0.19,0.88
rose,Derby,0.18,0.57,0.27,0.89
rose,Derby,0.19,0.53,0.28,0.88
rose,Derby,0.16,0.5,0.24,0.88
rose,Derby,0.13,0.41,0.19,0.88
rose,Derby,0.25,0.51,0.34,0.88
rose,Derby,0.12,0.5,0.19,0.88
rose,Derby,0.2,0.61,0.3,0.89
rose,Derby,0.16,0.65,0.25,0.89
rose,Derby,0.13,0.5,0.2,0.88
rose,Derby,0.15,0.64,0.24,0.89
rose,Derby,0.2,0.68,0.31,0.89
rose,Derby,0.19,0.55,0.28,0.89
