approach,dataname,pd,prec,f1,accuracy
rose,Chromium,0.76,0.82,0.79,0.99
rose,Chromium,0.75,0.76,0.76,0.99
rose,Chromium,0.73,0.79,0.76,0.99
rose,Chromium,0.76,0.65,0.7,0.99
rose,Chromium,0.74,0.79,0.76,0.99
rose,Chromium,0.73,0.88,0.8,0.99
rose,Chromium,0.73,0.86,0.79,0.99
rose,Chromium,0.73,0.76,0.75,0.99
rose,Chromium,0.74,0.83,0.78,0.99
rose,Chromium,0.78,0.58,0.67,0.98
rose,Chromium,0.72,0.84,0.78,0.99
rose,Chromium,0.75,0.74,0.75,0.99
rose,Chromium,0.75,0.77,0.76,0.99
rose,Chromium,0.7,0.85,0.77,0.99
rose,Chromium,0.74,0.83,0.78,0.99
rose,Chromium,0.75,0.61,0.67,0.98
rose,Chromium,0.74,0.83,0.78,0.99
rose,Chromium,0.73,0.78,0.75,0.99
rose,Chromium,0.72,0.89,0.79,0.99
rose,Chromium,0.75,0.87,0.8,0.99
rose,Chromium,0.75,0.81,0.78,0.99
rose,Chromium,0.77,0.75,0.76,0.99
rose,Chromium,0.74,0.77,0.76,0.99
rose,Chromium,0.74,0.81,0.78,0.99
rose,Chromium,0.74,0.79,0.76,0.99
rose,Chromium,0.78,0.73,0.75,0.99
rose,Chromium,0.74,0.8,0.77,0.99
rose,Chromium,0.71,0.8,0.75,0.99
rose,Chromium,0.74,0.81,0.77,0.99
rose,Chromium,0.73,0.78,0.76,0.99
rose,Chromium,0.74,0.84,0.79,0.99
rose,Chromium,0.75,0.76,0.76,0.99
rose,Chromium,0.74,0.86,0.79,0.99
rose,Chromium,0.76,0.69,0.72,0.99
rose,Chromium,0.76,0.61,0.68,0.98
rose,Chromium,0.76,0.76,0.76,0.99
rose,Chromium,0.74,0.75,0.75,0.99
rose,Chromium,0.75,0.68,0.71,0.99
rose,Chromium,0.75,0.81,0.78,0.99
rose,Chromium,0.68,0.78,0.73,0.99
rose,Chromium,0.73,0.82,0.77,0.99
rose,Chromium,0.78,0.71,0.74,0.99
rose,Chromium,0.69,0.87,0.77,0.99
rose,Chromium,0.75,0.79,0.77,0.99
rose,Chromium,0.73,0.88,0.8,0.99
rose,Chromium,0.74,0.72,0.73,0.99
rose,Chromium,0.65,0.87,0.75,0.99
rose,Chromium,0.72,0.81,0.76,0.99
rose,Chromium,0.73,0.78,0.75,0.99
rose,Chromium,0.72,0.87,0.79,0.99
