approach,dataname,pd,prec,f1,accuracy
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.08,0.42,0.13,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.15,0.36,0.22,0.91
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.12,0.4,0.19,0.91
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.12,0.47,0.2,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.12,0.57,0.2,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.12,0.57,0.2,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.64,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
rose,Camel,0.11,0.58,0.18,0.92
