approach,dataname,pd,prec,f1,accuracy
rose,Derby,0.09,0.15,0.12,0.83
rose,Derby,0.12,0.17,0.14,0.83
rose,Derby,0.12,0.21,0.15,0.84
rose,Derby,0.11,0.16,0.13,0.83
rose,Derby,0.12,0.18,0.14,0.83
rose,Derby,0.13,0.21,0.16,0.84
rose,Derby,0.11,0.17,0.13,0.83
rose,Derby,0.14,0.25,0.18,0.85
rose,Derby,0.12,0.17,0.14,0.83
rose,Derby,0.15,0.23,0.18,0.84
rose,Derby,0.13,0.2,0.16,0.84
rose,Derby,0.11,0.16,0.13,0.83
rose,Derby,0.13,0.19,0.15,0.83
rose,Derby,0.15,0.25,0.19,0.85
rose,Derby,0.13,0.19,0.15,0.83
rose,Derby,0.11,0.16,0.13,0.83
rose,Derby,0.15,0.23,0.18,0.84
rose,Derby,0.12,0.22,0.15,0.84
rose,Derby,0.12,0.17,0.14,0.83
rose,Derby,0.13,0.2,0.15,0.83
rose,Derby,0.13,0.2,0.15,0.83
rose,Derby,0.08,0.15,0.11,0.84
rose,Derby,0.11,0.17,0.13,0.83
rose,Derby,0.13,0.2,0.15,0.83
rose,Derby,0.12,0.18,0.14,0.83
rose,Derby,0.12,0.18,0.14,0.83
rose,Derby,0.11,0.17,0.13,0.83
rose,Derby,0.13,0.2,0.16,0.84
rose,Derby,0.11,0.17,0.13,0.83
rose,Derby,0.13,0.22,0.16,0.84
rose,Derby,0.12,0.18,0.14,0.83
rose,Derby,0.09,0.17,0.12,0.84
rose,Derby,0.14,0.2,0.16,0.83
rose,Derby,0.12,0.18,0.14,0.83
rose,Derby,0.14,0.22,0.17,0.84
rose,Derby,0.13,0.19,0.15,0.83
rose,Derby,0.12,0.18,0.14,0.83
rose,Derby,0.14,0.23,0.17,0.84
rose,Derby,0.13,0.2,0.15,0.83
rose,Derby,0.12,0.19,0.14,0.84
rose,Derby,0.13,0.24,0.17,0.85
rose,Derby,0.13,0.2,0.15,0.83
rose,Derby,0.13,0.18,0.15,0.83
rose,Derby,0.13,0.19,0.15,0.83
rose,Derby,0.12,0.18,0.14,0.83
rose,Derby,0.13,0.2,0.15,0.83
rose,Derby,0.12,0.17,0.14,0.83
rose,Derby,0.12,0.18,0.14,0.83
rose,Derby,0.11,0.19,0.14,0.84
rose,Derby,0.14,0.21,0.17,0.84
