approach,dataname,pd,prec,f1,accuracy
rose,Chromium,0.57,0.27,0.37,0.96
rose,Chromium,0.61,0.33,0.43,0.96
rose,Chromium,0.56,0.39,0.46,0.97
rose,Chromium,0.62,0.36,0.45,0.97
rose,Chromium,0.63,0.44,0.52,0.97
rose,Chromium,0.67,0.3,0.41,0.96
rose,Chromium,0.62,0.33,0.43,0.96
rose,Chromium,0.61,0.25,0.36,0.95
rose,Chromium,0.66,0.28,0.39,0.96
rose,Chromium,0.58,0.3,0.39,0.96
rose,Chromium,0.61,0.33,0.43,0.96
rose,Chromium,0.59,0.28,0.38,0.96
rose,Chromium,0.58,0.23,0.33,0.95
rose,Chromium,0.6,0.22,0.32,0.94
rose,Chromium,0.64,0.43,0.51,0.97
rose,Chromium,0.56,0.39,0.46,0.97
rose,Chromium,0.63,0.36,0.46,0.97
rose,Chromium,0.56,0.42,0.48,0.97
rose,Chromium,0.58,0.4,0.47,0.97
rose,Chromium,0.62,0.38,0.47,0.97
rose,Chromium,0.65,0.32,0.43,0.96
rose,Chromium,0.65,0.29,0.4,0.96
rose,Chromium,0.63,0.3,0.41,0.96
rose,Chromium,0.57,0.31,0.4,0.96
rose,Chromium,0.64,0.32,0.43,0.96
rose,Chromium,0.61,0.31,0.41,0.96
rose,Chromium,0.63,0.32,0.43,0.96
rose,Chromium,0.56,0.25,0.34,0.95
rose,Chromium,0.62,0.39,0.48,0.97
rose,Chromium,0.67,0.34,0.45,0.96
rose,Chromium,0.62,0.25,0.36,0.95
rose,Chromium,0.68,0.34,0.46,0.96
rose,Chromium,0.62,0.42,0.5,0.97
rose,Chromium,0.69,0.36,0.47,0.97
rose,Chromium,0.69,0.38,0.49,0.97
rose,Chromium,0.62,0.31,0.41,0.96
rose,Chromium,0.68,0.28,0.4,0.95
rose,Chromium,0.59,0.32,0.41,0.96
rose,Chromium,0.56,0.31,0.4,0.96
rose,Chromium,0.64,0.36,0.46,0.97
rose,Chromium,0.59,0.34,0.43,0.97
rose,Chromium,0.63,0.37,0.47,0.97
rose,Chromium,0.6,0.27,0.37,0.96
rose,Chromium,0.59,0.42,0.49,0.97
rose,Chromium,0.64,0.36,0.46,0.97
rose,Chromium,0.62,0.35,0.45,0.97
rose,Chromium,0.59,0.3,0.39,0.96
rose,Chromium,0.57,0.41,0.48,0.97
rose,Chromium,0.54,0.32,0.4,0.96
rose,Chromium,0.57,0.33,0.42,0.96
