dataname,approach,TP,FN,TN,FP,pd,prec,f1,accuracy
Ambari,Adasyn+LR,5,5,437,53,0.5,0.09,0.15,0.88
Ambari,Adasyn+NB,2,8,438,52,0.2,0.04,0.06,0.88
Ambari,Adasyn+MLP,5,5,363,127,0.5,0.04,0.07,0.74
Ambari,Adasyn+RF,6,4,370,120,0.6,0.05,0.09,0.75
Ambari,Adasyn+SVM,7,3,339,151,0.7,0.04,0.08,0.69
Camel,Adasyn+LR,16,30,409,45,0.35,0.26,0.3,0.85
Camel,Adasyn+NB,19,27,343,111,0.41,0.15,0.22,0.72
Camel,Adasyn+MLP,7,39,426,28,0.15,0.2,0.17,0.87
Camel,Adasyn+RF,13,33,431,23,0.28,0.36,0.32,0.89
Camel,Adasyn+SVM,16,30,427,27,0.35,0.37,0.36,0.89
Derby,Adasyn+LR,20,43,397,40,0.32,0.33,0.33,0.83
Derby,Adasyn+NB,19,44,381,56,0.3,0.25,0.28,0.8
Derby,Adasyn+MLP,21,42,405,32,0.33,0.4,0.36,0.85
Derby,Adasyn+RF,17,46,385,52,0.27,0.25,0.26,0.8
Derby,Adasyn+SVM,19,44,399,38,0.3,0.33,0.32,0.84
Wicket,Adasyn+LR,1,8,478,13,0.11,0.07,0.09,0.96
Wicket,Adasyn+NB,4,5,274,217,0.44,0.02,0.03,0.56
Wicket,Adasyn+MLP,1,8,479,12,0.11,0.08,0.09,0.96
Wicket,Adasyn+RF,2,7,485,6,0.22,0.25,0.24,0.97
Wicket,Adasyn+SVM,1,8,481,10,0.11,0.09,0.1,0.96
Chromium,Adasyn+LR,266,215,19492,997,0.55,0.21,0.31,0.94
Chromium,Adasyn+NB,322,159,19417,1072,0.67,0.23,0.34,0.94
Chromium,Adasyn+MLP,240,241,20121,368,0.5,0.39,0.44,0.97
Chromium,Adasyn+RF,277,204,20163,326,0.58,0.46,0.51,0.97
Chromium,Adasyn+SVM,275,206,19540,949,0.57,0.22,0.32,0.94
