dataname,approach,TP,FN,TN,FP,pd,prec,f1,accuracy
Ambari,CNN+LR,2,8,468,22,0.2,0.08,0.12,0.94
Ambari,CNN+NB,0,10,438,52,0,0,0,0.88
Ambari,CNN+MLP,2,8,455,35,0.2,0.05,0.09,0.91
Ambari,CNN+RF,4,6,471,19,0.4,0.17,0.24,0.95
Ambari,CNN+SVM,2,8,477,13,0.2,0.13,0.16,0.96
Camel,CNN+LR,13,33,425,29,0.28,0.31,0.3,0.88
Camel,CNN+NB,19,27,328,126,0.41,0.13,0.2,0.69
Camel,CNN+MLP,5,41,426,28,0.11,0.15,0.13,0.86
Camel,CNN+RF,15,31,449,5,0.33,0.75,0.45,0.93
Camel,CNN+SVM,16,30,436,18,0.35,0.47,0.4,0.9
Derby,CNN+LR,18,45,410,27,0.29,0.4,0.33,0.86
Derby,CNN+NB,21,42,335,102,0.33,0.17,0.23,0.71
Derby,CNN+MLP,17,46,411,26,0.27,0.4,0.32,0.86
Derby,CNN+RF,12,51,423,14,0.19,0.46,0.27,0.87
Derby,CNN+SVM,20,43,405,32,0.32,0.38,0.35,0.85
Wicket,CNN+LR,1,8,473,18,0.11,0.05,0.07,0.95
Wicket,CNN+NB,2,7,438,53,0.22,0.04,0.06,0.88
Wicket,CNN+MLP,1,8,482,9,0.11,0.1,0.11,0.97
Wicket,CNN+RF,1,8,483,8,0.11,0.11,0.11,0.97
Wicket,CNN+SVM,2,7,482,9,0.22,0.18,0.2,0.97
Chromium,CNN+LR,305,176,20325,164,0.63,0.65,0.64,0.98
Chromium,CNN+NB,341,140,19821,668,0.71,0.34,0.46,0.96
Chromium,CNN+MLP,279,202,20258,231,0.58,0.55,0.56,0.98
Chromium,CNN+RF,371,110,20382,107,0.77,0.78,0.77,0.99
Chromium,CNN+SVM,323,158,20147,342,0.67,0.49,0.56,0.98
