dataname,approach,TP,FN,TN,FP,pd,prec,f1,accuracy
Ambari,Farsec+LR,3,7,418,72,0.3,0.04,0.07,0.84
Ambari,Farsec+NB,4,6,227,263,0.4,0.01,0.03,0.46
Ambari,Farsec+MLP,2,8,453,37,0.2,0.05,0.08,0.91
Ambari,Farsec+RF,4,6,459,31,0.4,0.11,0.18,0.93
Ambari,Farsec+SVM,2,8,456,34,0.2,0.06,0.09,0.92
Camel,Farsec+LR,36,10,158,296,0.78,0.11,0.19,0.39
Camel,Farsec+NB,30,16,275,179,0.65,0.14,0.24,0.61
Camel,Farsec+MLP,32,14,217,237,0.7,0.12,0.2,0.5
Camel,Farsec+RF,42,4,68,386,0.91,0.1,0.18,0.22
Camel,Farsec+SVM,23,23,263,191,0.5,0.11,0.18,0.57
Derby,Farsec+LR,35,28,278,159,0.56,0.18,0.27,0.63
Derby,Farsec+NB,47,16,194,243,0.75,0.16,0.27,0.48
Derby,Farsec+MLP,35,28,274,163,0.56,0.18,0.27,0.62
Derby,Farsec+RF,40,23,219,218,0.63,0.16,0.25,0.52
Derby,Farsec+SVM,26,37,330,107,0.41,0.2,0.27,0.71
Wicket,Farsec+LR,2,7,468,23,0.22,0.08,0.12,0.94
Wicket,Farsec+NB,2,7,436,55,0.22,0.04,0.06,0.88
Wicket,Farsec+MLP,2,7,479,12,0.22,0.14,0.17,0.96
Wicket,Farsec+RF,3,6,474,17,0.33,0.15,0.21,0.95
Wicket,Farsec+SVM,3,6,467,24,0.33,0.11,0.17,0.94
