dataname,approach,TP,FN,TN,FP,pd,prec,f1,accuracy
Ambari,Mahala+LR,2,8,463,27,0.2,0.07,0.1,0.93
Ambari,Mahala+NB,4,6,312,178,0.4,0.02,0.04,0.63
Ambari,Mahala+MLP,2,8,471,19,0.2,0.1,0.13,0.95
Ambari,Mahala+RF,2,8,484,6,0.2,0.25,0.22,0.97
Ambari,Mahala+SVM,2,8,472,18,0.2,0.1,0.13,0.95
Camel,Mahala+LR,18,28,426,28,0.39,0.39,0.39,0.89
Camel,Mahala+NB,23,23,283,171,0.5,0.12,0.19,0.61
Camel,Mahala+MLP,7,39,438,16,0.15,0.3,0.2,0.89
Camel,Mahala+RF,14,32,451,3,0.3,0.82,0.44,0.93
Camel,Mahala+SVM,17,29,431,23,0.37,0.42,0.4,0.9
Derby,Mahala+LR,18,45,415,22,0.29,0.45,0.35,0.87
Derby,Mahala+NB,31,32,305,132,0.49,0.19,0.27,0.67
Derby,Mahala+MLP,17,46,417,20,0.27,0.46,0.34,0.87
Derby,Mahala+RF,10,53,430,7,0.16,0.59,0.25,0.88
Derby,Mahala+SVM,15,48,417,20,0.24,0.43,0.31,0.86
Wicket,Mahala+LR,2,7,487,4,0.22,0.33,0.27,0.98
Wicket,Mahala+NB,2,7,352,139,0.22,0.01,0.03,0.71
Wicket,Mahala+MLP,1,8,488,3,0.11,0.25,0.15,0.98
Wicket,Mahala+RF,1,8,489,2,0.11,0.33,0.17,0.98
Wicket,Mahala+SVM,2,7,488,3,0.22,0.4,0.29,0.98
Chromium,Mahala+LR,339,142,20349,140,0.7,0.71,0.71,0.99
Chromium,Mahala+NB,358,123,19257,1232,0.74,0.23,0.35,0.94
Chromium,Mahala+MLP,291,190,20421,68,0.6,0.81,0.69,0.99
Chromium,Mahala+RF,278,203,20476,13,0.58,0.96,0.72,0.99
Chromium,Mahala+SVM,285,196,20388,101,0.59,0.74,0.66,0.99
