dataname,approach,TP,FN,TN,FP,pd,prec,f1,accuracy
Ambari,NM+LR,7,3,361,129,0.7,0.05,0.1,0.74
Ambari,NM+NB,1,9,392,98,0.1,0.01,0.02,0.79
Ambari,NM+MLP,6,4,308,182,0.6,0.03,0.06,0.63
Ambari,NM+SVM,5,5,373,117,0.5,0.04,0.08,0.76
Ambari,NM+RF,5,5,400,90,0.5,0.05,0.1,0.81
Camel,NM+LR,28,18,181,273,0.61,0.09,0.16,0.42
Camel,NM+NB,34,12,145,309,0.74,0.1,0.17,0.36
Camel,NM+MLP,30,16,145,309,0.65,0.09,0.16,0.35
Camel,NM+SVM,28,18,206,248,0.61,0.1,0.17,0.47
Camel,NM+RF,29,17,155,299,0.63,0.09,0.16,0.37
Derby,NM+LR,44,19,230,207,0.7,0.18,0.28,0.55
Derby,NM+NB,39,24,215,222,0.62,0.15,0.24,0.51
Derby,NM+MLP,39,24,291,146,0.62,0.21,0.31,0.66
Derby,NM+SVM,39,24,259,178,0.62,0.18,0.28,0.6
Derby,NM+RF,45,18,229,208,0.71,0.18,0.28,0.55
Wicket,NM+LR,3,6,431,60,0.33,0.05,0.08,0.87
Wicket,NM+NB,4,5,242,249,0.44,0.02,0.03,0.49
Wicket,NM+MLP,4,5,382,109,0.44,0.04,0.07,0.77
Wicket,NM+SVM,3,6,467,24,0.33,0.11,0.17,0.94
Wicket,NM+RF,2,7,430,61,0.22,0.03,0.06,0.86
Chromium,NM+LR,445,36,5358,15131,0.93,0.03,0.06,0.28
Chromium,NM+NB,430,51,6941,13548,0.89,0.03,0.06,0.35
Chromium,NM+MLP,447,34,5518,14971,0.93,0.03,0.06,0.28
Chromium,NM+SVM,454,27,6673,13816,0.94,0.03,0.06,0.34
Chromium,NM+RF,447,34,5753,14736,0.93,0.03,0.06,0.3
OpenStack,NM+LR,83,5,3517,37898,0.94,0,0,0.09
OpenStack,NM+NB,81,7,9244,32171,0.92,0,0.01,0.22
OpenStack,NM+MLP,84,4,5912,35503,0.95,0,0,0.14
OpenStack,NM+SVM,79,9,10063,31352,0.9,0,0.01,0.24
OpenStack,NM+RF,84,4,6160,35255,0.95,0,0,0.15
