dataname,approach,TP,FN,TN,FP,pd,prec,f1,accuracy
Ambari,ROSE+LR,2,8,464,26,0.2,0.07,0.11,0.93
Ambari,ROSE+NB,3,7,433,57,0.3,0.05,0.09,0.87
Ambari,ROSE+MLP,2,8,468,22,0.2,0.08,0.12,0.94
Ambari,ROSE+SVM,3,7,463,27,0.3,0.1,0.15,0.93
Ambari,ROSE+RF,3,7,470,20,0.3,0.13,0.18,0.95
Camel,ROSE+LR,19,27,416,38,0.41,0.33,0.37,0.87
Camel,ROSE+NB,21,25,329,125,0.46,0.14,0.22,0.7
Camel,ROSE+MLP,10,36,437,17,0.22,0.37,0.27,0.89
Camel,ROSE+SVM,17,29,429,25,0.37,0.4,0.39,0.89
Camel,ROSE+RF,16,30,451,3,0.35,0.84,0.49,0.93
Derby,ROSE+LR,17,46,409,28,0.27,0.38,0.31,0.85
Derby,ROSE+NB,21,42,359,78,0.33,0.21,0.26,0.76
Derby,ROSE+MLP,15,48,412,25,0.24,0.38,0.29,0.85
Derby,ROSE+SVM,16,47,409,28,0.25,0.36,0.3,0.85
Derby,ROSE+RF,17,46,414,23,0.27,0.42,0.33,0.86
Wicket,ROSE+LR,2,7,486,5,0.22,0.29,0.25,0.98
Wicket,ROSE+NB,2,7,432,59,0.22,0.03,0.06,0.87
Wicket,ROSE+MLP,2,7,489,2,0.22,0.5,0.31,0.98
Wicket,ROSE+SVM,2,7,485,6,0.22,0.25,0.24,0.97
Wicket,ROSE+RF,2,7,490,1,0.22,0.67,0.33,0.98
Chromium,ROSE+LR,329,152,20277,212,0.68,0.61,0.64,0.98
Chromium,ROSE+NB,348,133,19260,1229,0.72,0.22,0.34,0.94
Chromium,ROSE+MLP,265,216,20393,96,0.55,0.73,0.63,0.99
Chromium,ROSE+SVM,281,200,20344,145,0.58,0.66,0.62,0.98
Chromium,ROSE+RF,315,166,20466,23,0.65,0.93,0.77,0.99
OpenStack,ROSE+LR,40,48,40960,455,0.45,0.08,0.14,0.99
OpenStack,ROSE+NB,60,28,31939,9476,0.68,0.01,0.01,0.77
OpenStack,ROSE+MLP,32,56,41262,153,0.36,0.17,0.23,0.99
OpenStack,ROSE+SVM,29,59,40993,422,0.33,0.06,0.11,0.99
OpenStack,ROSE+RF,28,60,41346,69,0.32,0.29,0.3,1.0
