dataname,approach,TP,FN,TN,FP,pd,prec,f1,accuracy
Ambari,Smotebl+LR,2,8,464,26,0.2,0.07,0.11,0.93
Ambari,Smotebl+NB,1,9,468,22,0.1,0.04,0.06,0.94
Ambari,Smotebl+MLP,2,8,473,17,0.2,0.11,0.14,0.95
Ambari,Smotebl+SVM,2,8,466,24,0.2,0.08,0.11,0.94
Ambari,Smotebl+RF,1,9,479,11,0.1,0.08,0.09,0.96
Camel,Smotebl+LR,15,31,428,26,0.33,0.37,0.34,0.89
Camel,Smotebl+NB,13,33,392,62,0.28,0.17,0.21,0.81
Camel,Smotebl+MLP,9,37,434,20,0.2,0.31,0.24,0.89
Camel,Smotebl+SVM,15,31,421,33,0.33,0.31,0.32,0.87
Camel,Smotebl+RF,16,30,441,13,0.35,0.55,0.43,0.91
Derby,Smotebl+LR,22,41,401,36,0.35,0.38,0.36,0.85
Derby,Smotebl+NB,18,45,385,52,0.29,0.26,0.27,0.81
Derby,Smotebl+MLP,19,44,405,32,0.3,0.37,0.33,0.85
Derby,Smotebl+SVM,24,39,402,35,0.38,0.41,0.39,0.85
Derby,Smotebl+RF,15,48,403,34,0.24,0.31,0.27,0.84
Wicket,Smotebl+LR,1,8,483,8,0.11,0.11,0.11,0.97
Wicket,Smotebl+NB,1,8,442,49,0.11,0.02,0.03,0.89
Wicket,Smotebl+MLP,1,8,483,8,0.11,0.11,0.11,0.97
Wicket,Smotebl+SVM,1,8,484,7,0.11,0.12,0.12,0.97
Wicket,Smotebl+RF,2,7,489,2,0.22,0.5,0.31,0.98
Chromium,Smotebl+LR,290,191,20204,285,0.6,0.5,0.55,0.98
Chromium,Smotebl+NB,291,190,19745,744,0.6,0.28,0.38,0.96
Chromium,Smotebl+MLP,255,226,20334,155,0.53,0.62,0.57,0.98
Chromium,Smotebl+SVM,287,194,20204,285,0.6,0.5,0.55,0.98
Chromium,Smotebl+RF,246,235,20390,99,0.51,0.71,0.6,0.98
OpenStack,Smotebl+LR,26,62,38658,2757,0.3,0.01,0.02,0.93
OpenStack,Smotebl+NB,15,73,39919,1496,0.17,0.01,0.02,0.96
OpenStack,Smotebl+MLP,26,62,39526,1889,0.3,0.01,0.03,0.95
OpenStack,Smotebl+SVM,24,64,38598,2817,0.27,0.01,0.02,0.93
OpenStack,Smotebl+RF,12,76,39357,2058,0.14,0.01,0.01,0.95
