dataname,approach,TP,FN,TN,FP,pd,prec,f1,accuracy
Ambari,Smotebl+LR,2,8,482,8,0.2,0.2,0.2,0.97
Ambari,Smotebl+NB,0,10,473,17,0.0,0.0,0,0.95
Ambari,Smotebl+MLP,2,8,483,7,0.2,0.22,0.21,0.97
Ambari,Smotebl+SVM,1,9,482,8,0.1,0.11,0.11,0.97
Ambari,Smotebl+RF,0,10,485,5,0.0,0.0,0,0.97
Camel,Smotebl+LR,9,37,441,13,0.2,0.41,0.26,0.9
Camel,Smotebl+NB,15,31,425,29,0.33,0.34,0.33,0.88
Camel,Smotebl+MLP,5,41,447,7,0.11,0.42,0.17,0.9
Camel,Smotebl+SVM,18,28,432,22,0.39,0.45,0.42,0.9
Camel,Smotebl+RF,17,29,451,3,0.37,0.85,0.52,0.94
Derby,Smotebl+LR,12,51,421,16,0.19,0.43,0.26,0.87
Derby,Smotebl+NB,20,43,403,34,0.32,0.37,0.34,0.85
Derby,Smotebl+MLP,13,50,427,10,0.21,0.57,0.3,0.88
Derby,Smotebl+SVM,16,47,420,17,0.25,0.48,0.33,0.87
Derby,Smotebl+RF,12,51,431,6,0.19,0.67,0.3,0.89
Wicket,Smotebl+LR,0,9,490,1,0.0,0.0,0,0.98
Wicket,Smotebl+NB,1,8,479,12,0.11,0.08,0.09,0.96
Wicket,Smotebl+MLP,1,8,489,2,0.11,0.33,0.17,0.98
Wicket,Smotebl+SVM,1,8,485,6,0.11,0.14,0.12,0.97
Wicket,Smotebl+RF,1,8,491,0,0.11,1.0,0.2,0.98
OpenStack,Smotebl+LR,16,72,41375,40,0.18,0.29,0.22,1.0
OpenStack,Smotebl+NB,47,41,40346,1069,0.53,0.04,0.08,0.97
OpenStack,Smotebl+MLP,24,64,41388,27,0.27,0.47,0.35,1.0
OpenStack,Smotebl+SVM,41,47,41375,40,0.47,0.51,0.49,1.0
OpenStack,Smotebl+RF,54,34,41401,14,0.61,0.79,0.69,1.0
chromium,Smotebl+LR,275,206,20429,60,0.57,0.82,0.67,0.99
chromium,Smotebl+NB,336,145,19724,765,0.7,0.31,0.42,0.96
chromium,Smotebl+MLP,254,227,20454,35,0.53,0.88,0.66,0.99
chromium,Smotebl+SVM,291,190,20408,81,0.6,0.78,0.68,0.99
chromium,Smotebl+RF,343,138,20464,25,0.71,0.93,0.81,0.99
OpenStack,Smotebl+LR,15,73,41379,36,0.17,0.29,0.22,1.0
OpenStack,Smotebl+NB,47,41,40697,718,0.53,0.06,0.11,0.98
OpenStack,Smotebl+MLP,31,57,41380,35,0.35,0.47,0.4,1.0
OpenStack,Smotebl+SVM,47,41,41383,32,0.53,0.59,0.56,1.0
OpenStack,Smotebl+RF,57,31,41405,10,0.65,0.85,0.74,1.0
