dataname,approach,pd,prec,f1,accuracy
Ambari,CNN,0.1,0.04,0.06,0.94
Ambari,CNN,0.2,0.09,0.12,0.94
Ambari,CNN,0.0,0.0,0,0.94
Ambari,CNN,0.1,0.06,0.07,0.95
Ambari,CNN,0.1,0.04,0.06,0.94
Ambari,CNN,0.0,0.0,0,0.95
Ambari,CNN,0.1,0.06,0.07,0.95
Ambari,CNN,0.2,0.08,0.11,0.94
Ambari,CNN,0.0,0.0,0,0.94
Ambari,CNN,0.2,0.07,0.11,0.93
Ambari,CNN,0.2,0.1,0.13,0.95
Ambari,CNN,0.1,0.05,0.07,0.94
Ambari,CNN,0.1,0.07,0.08,0.95
Ambari,CNN,0.1,0.07,0.08,0.95
Ambari,CNN,0.2,0.12,0.15,0.96
Ambari,CNN,0.2,0.12,0.15,0.96
Ambari,CNN,0.1,0.06,0.07,0.95
Ambari,CNN,0.2,0.12,0.15,0.95
Ambari,CNN,0.2,0.08,0.11,0.94
Ambari,CNN,0.0,0.0,0,0.95
Ambari,CNN,0.1,0.05,0.07,0.95
Ambari,CNN,0.1,0.05,0.07,0.94
Ambari,CNN,0.0,0.0,0,0.94
Ambari,CNN,0.1,0.06,0.07,0.95
Ambari,CNN,0.1,0.06,0.07,0.95
Ambari,CNN,0.1,0.04,0.05,0.93
Ambari,CNN,0.1,0.05,0.07,0.94
Ambari,CNN,0.2,0.07,0.1,0.93
Ambari,CNN,0.1,0.04,0.06,0.94
Ambari,CNN,0.0,0.0,0,0.94
Ambari,CNN,0.2,0.12,0.15,0.95
Ambari,CNN,0.0,0.0,0,0.94
Ambari,CNN,0.2,0.11,0.14,0.95
Ambari,CNN,0.1,0.05,0.07,0.94
Ambari,CNN,0.2,0.1,0.13,0.95
Ambari,CNN,0.1,0.05,0.07,0.95
Ambari,CNN,0.1,0.04,0.06,0.93
Ambari,CNN,0.1,0.04,0.06,0.94
Ambari,CNN,0.1,0.03,0.05,0.92
Ambari,CNN,0.0,0.0,0,0.94
Ambari,CNN,0.1,0.04,0.06,0.94
Ambari,CNN,0.3,0.12,0.17,0.94
Ambari,CNN,0.1,0.05,0.06,0.94
Ambari,CNN,0.1,0.04,0.06,0.94
Ambari,CNN,0.1,0.04,0.06,0.93
Ambari,CNN,0.1,0.06,0.07,0.95
Ambari,CNN,0.1,0.05,0.07,0.94
Ambari,CNN,0.1,0.05,0.07,0.95
Ambari,CNN,0.0,0.0,0,0.93
Ambari,CNN,0.1,0.05,0.06,0.94
