dataname,approach,pd,prec,f1,accuracy
Ambari,Farsec,0.4,0.22,0.29,0.96
Ambari,Farsec,0.4,0.21,0.28,0.96
Ambari,Farsec,0.3,0.14,0.19,0.95
Ambari,Farsec,0.4,0.18,0.25,0.95
Ambari,Farsec,0.4,0.19,0.26,0.95
Ambari,Farsec,0.4,0.22,0.29,0.96
Ambari,Farsec,0.3,0.23,0.26,0.97
Ambari,Farsec,0.4,0.18,0.25,0.95
Ambari,Farsec,0.4,0.21,0.28,0.96
Ambari,Farsec,0.2,0.15,0.17,0.96
Ambari,Farsec,0.2,0.14,0.17,0.96
Ambari,Farsec,0.4,0.21,0.28,0.96
Ambari,Farsec,0.3,0.17,0.21,0.96
Ambari,Farsec,0.3,0.18,0.22,0.96
Ambari,Farsec,0.4,0.19,0.26,0.95
Ambari,Farsec,0.4,0.21,0.28,0.96
Ambari,Farsec,0.4,0.21,0.28,0.96
Ambari,Farsec,0.4,0.22,0.29,0.96
Ambari,Farsec,0.4,0.22,0.29,0.96
Ambari,Farsec,0.4,0.24,0.3,0.96
Ambari,Farsec,0.3,0.18,0.22,0.96
Ambari,Farsec,0.4,0.19,0.26,0.95
Ambari,Farsec,0.4,0.2,0.27,0.96
Ambari,Farsec,0.4,0.22,0.29,0.96
Ambari,Farsec,0.4,0.19,0.26,0.95
Ambari,Farsec,0.4,0.2,0.27,0.96
Ambari,Farsec,0.4,0.18,0.25,0.95
Ambari,Farsec,0.4,0.2,0.27,0.96
Ambari,Farsec,0.4,0.21,0.28,0.96
Ambari,Farsec,0.4,0.19,0.26,0.95
Ambari,Farsec,0.4,0.19,0.26,0.95
Ambari,Farsec,0.4,0.24,0.3,0.96
Ambari,Farsec,0.3,0.15,0.2,0.95
Ambari,Farsec,0.3,0.19,0.23,0.96
Ambari,Farsec,0.4,0.21,0.28,0.96
Ambari,Farsec,0.3,0.2,0.24,0.96
Ambari,Farsec,0.4,0.18,0.25,0.95
Ambari,Farsec,0.4,0.17,0.24,0.95
Ambari,Farsec,0.4,0.24,0.3,0.96
Ambari,Farsec,0.4,0.19,0.26,0.95
Ambari,Farsec,0.3,0.16,0.21,0.95
Ambari,Farsec,0.4,0.19,0.26,0.95
Ambari,Farsec,0.4,0.22,0.29,0.96
Ambari,Farsec,0.4,0.19,0.26,0.95
Ambari,Farsec,0.4,0.2,0.27,0.96
Ambari,Farsec,0.4,0.18,0.25,0.95
Ambari,Farsec,0.4,0.2,0.27,0.96
Ambari,Farsec,0.4,0.21,0.28,0.96
Ambari,Farsec,0.4,0.22,0.29,0.96
Ambari,Farsec,0.3,0.16,0.21,0.95
