dataname,approach,pd,prec,f1,accuracy
Ambari,Mahakil,0.1,0.14,0.12,0.97
Ambari,Mahakil,0.0,0.0,0,0.97
Ambari,Mahakil,0.1,0.17,0.12,0.97
Ambari,Mahakil,0.1,0.12,0.11,0.97
Ambari,Mahakil,0.1,0.14,0.12,0.97
Ambari,Mahakil,0.2,0.18,0.19,0.97
Ambari,Mahakil,0.2,0.22,0.21,0.97
Ambari,Mahakil,0.1,0.14,0.12,0.97
Ambari,Mahakil,0.1,0.12,0.11,0.97
Ambari,Mahakil,0.1,0.11,0.11,0.97
Ambari,Mahakil,0.1,0.12,0.11,0.97
Ambari,Mahakil,0.0,0.0,0,0.97
Ambari,Mahakil,0.1,0.11,0.11,0.97
Ambari,Mahakil,0.1,0.09,0.1,0.96
Ambari,Mahakil,0.0,0.0,0,0.96
Ambari,Mahakil,0.1,0.12,0.11,0.97
Ambari,Mahakil,0.0,0.0,0,0.96
Ambari,Mahakil,0.1,0.11,0.11,0.97
Ambari,Mahakil,0.0,0.0,0,0.97
Ambari,Mahakil,0.1,0.12,0.11,0.97
Ambari,Mahakil,0.1,0.1,0.1,0.96
Ambari,Mahakil,0.0,0.0,0,0.96
Ambari,Mahakil,0.1,0.11,0.11,0.97
Ambari,Mahakil,0.0,0.0,0,0.97
Ambari,Mahakil,0.1,0.12,0.11,0.97
Ambari,Mahakil,0.2,0.18,0.19,0.97
Ambari,Mahakil,0.1,0.14,0.12,0.97
Ambari,Mahakil,0.1,0.14,0.12,0.97
Ambari,Mahakil,0.1,0.14,0.12,0.97
Ambari,Mahakil,0.2,0.22,0.21,0.97
Ambari,Mahakil,0.2,0.22,0.21,0.97
Ambari,Mahakil,0.0,0.0,0,0.97
Ambari,Mahakil,0.2,0.14,0.17,0.96
Ambari,Mahakil,0.1,0.12,0.11,0.97
Ambari,Mahakil,0.1,0.12,0.11,0.97
Ambari,Mahakil,0.0,0.0,0,0.97
Ambari,Mahakil,0.0,0.0,0,0.97
Ambari,Mahakil,0.1,0.11,0.11,0.97
Ambari,Mahakil,0.1,0.07,0.08,0.95
Ambari,Mahakil,0.0,0.0,0,0.97
Ambari,Mahakil,0.2,0.25,0.22,0.97
Ambari,Mahakil,0.0,0.0,0,0.97
Ambari,Mahakil,0.1,0.12,0.11,0.97
Ambari,Mahakil,0.0,0.0,0,0.97
Ambari,Mahakil,0.0,0.0,0,0.96
Ambari,Mahakil,0.0,0.0,0,0.96
Ambari,Mahakil,0.1,0.14,0.12,0.97
Ambari,Mahakil,0.0,0.0,0,0.96
Ambari,Mahakil,0.0,0.0,0,0.97
Ambari,Mahakil,0.0,0.0,0,0.96
