dataname,approach,pd,prec,f1,accuracy
Ambari,Rose,0.3,0.12,0.18,0.94
Ambari,Rose,0.3,0.11,0.16,0.94
Ambari,Rose,0.3,0.12,0.17,0.94
Ambari,Rose,0.3,0.12,0.17,0.94
Ambari,Rose,0.3,0.12,0.17,0.94
Ambari,Rose,0.2,0.11,0.14,0.95
Ambari,Rose,0.3,0.12,0.18,0.94
Ambari,Rose,0.3,0.1,0.15,0.93
Ambari,Rose,0.3,0.11,0.16,0.94
Ambari,Rose,0.3,0.13,0.18,0.95
Ambari,Rose,0.3,0.13,0.18,0.95
Ambari,Rose,0.3,0.12,0.17,0.94
Ambari,Rose,0.3,0.12,0.17,0.94
Ambari,Rose,0.3,0.12,0.17,0.94
Ambari,Rose,0.3,0.12,0.17,0.94
Ambari,Rose,0.3,0.12,0.18,0.94
Ambari,Rose,0.3,0.11,0.16,0.94
Ambari,Rose,0.3,0.11,0.16,0.94
Ambari,Rose,0.3,0.12,0.17,0.94
Ambari,Rose,0.3,0.14,0.19,0.95
Ambari,Rose,0.3,0.11,0.16,0.94
Ambari,Rose,0.3,0.1,0.15,0.93
Ambari,Rose,0.3,0.14,0.19,0.95
Ambari,Rose,0.3,0.12,0.18,0.94
Ambari,Rose,0.3,0.11,0.16,0.94
Ambari,Rose,0.3,0.12,0.17,0.94
Ambari,Rose,0.3,0.09,0.14,0.93
Ambari,Rose,0.3,0.11,0.16,0.94
Ambari,Rose,0.3,0.12,0.18,0.94
Ambari,Rose,0.3,0.14,0.19,0.95
Ambari,Rose,0.3,0.13,0.18,0.95
Ambari,Rose,0.3,0.12,0.17,0.94
Ambari,Rose,0.3,0.17,0.21,0.96
Ambari,Rose,0.3,0.11,0.16,0.94
Ambari,Rose,0.3,0.11,0.16,0.94
Ambari,Rose,0.3,0.12,0.17,0.94
Ambari,Rose,0.3,0.12,0.18,0.94
Ambari,Rose,0.3,0.14,0.19,0.95
Ambari,Rose,0.3,0.12,0.18,0.94
Ambari,Rose,0.3,0.14,0.19,0.95
Ambari,Rose,0.3,0.12,0.17,0.94
Ambari,Rose,0.3,0.11,0.16,0.94
Ambari,Rose,0.3,0.11,0.16,0.94
Ambari,Rose,0.3,0.09,0.14,0.93
Ambari,Rose,0.3,0.12,0.17,0.94
Ambari,Rose,0.3,0.12,0.18,0.94
Ambari,Rose,0.3,0.16,0.21,0.95
Ambari,Rose,0.3,0.12,0.17,0.94
Ambari,Rose,0.3,0.12,0.17,0.94
Ambari,Rose,0.3,0.14,0.19,0.95
