dataname,approach,pd,prec,f1,accuracy
Camel,CNN,0.33,0.42,0.37,0.9
Camel,CNN,0.39,0.56,0.46,0.92
Camel,CNN,0.43,0.8,0.56,0.94
Camel,CNN,0.39,0.72,0.51,0.93
Camel,CNN,0.37,0.41,0.39,0.89
Camel,CNN,0.46,0.35,0.4,0.87
Camel,CNN,0.39,0.28,0.32,0.85
Camel,CNN,0.39,0.6,0.47,0.92
Camel,CNN,0.39,0.75,0.51,0.93
Camel,CNN,0.41,0.51,0.46,0.91
Camel,CNN,0.41,0.34,0.37,0.87
Camel,CNN,0.39,0.62,0.48,0.92
Camel,CNN,0.43,0.62,0.51,0.92
Camel,CNN,0.43,0.74,0.55,0.93
Camel,CNN,0.39,0.42,0.4,0.89
Camel,CNN,0.43,0.29,0.35,0.85
Camel,CNN,0.43,0.43,0.43,0.9
Camel,CNN,0.46,0.34,0.39,0.87
Camel,CNN,0.41,0.49,0.45,0.91
Camel,CNN,0.37,0.81,0.51,0.93
Camel,CNN,0.39,0.56,0.46,0.92
Camel,CNN,0.33,0.71,0.45,0.93
Camel,CNN,0.37,0.74,0.49,0.93
Camel,CNN,0.37,0.89,0.52,0.94
Camel,CNN,0.41,0.49,0.45,0.91
Camel,CNN,0.43,0.67,0.53,0.93
Camel,CNN,0.39,0.47,0.43,0.9
Camel,CNN,0.39,0.62,0.48,0.92
Camel,CNN,0.37,0.63,0.47,0.92
Camel,CNN,0.41,0.76,0.54,0.93
Camel,CNN,0.41,0.73,0.53,0.93
Camel,CNN,0.35,0.62,0.44,0.92
Camel,CNN,0.39,0.78,0.52,0.93
Camel,CNN,0.46,0.47,0.46,0.9
Camel,CNN,0.46,0.37,0.41,0.88
Camel,CNN,0.33,0.6,0.42,0.92
Camel,CNN,0.41,0.51,0.46,0.91
Camel,CNN,0.46,0.37,0.41,0.88
Camel,CNN,0.39,0.49,0.43,0.91
Camel,CNN,0.33,0.33,0.33,0.88
Camel,CNN,0.28,0.68,0.4,0.92
Camel,CNN,0.39,0.62,0.48,0.92
Camel,CNN,0.43,0.69,0.53,0.93
Camel,CNN,0.39,0.78,0.52,0.93
Camel,CNN,0.37,0.61,0.46,0.92
Camel,CNN,0.33,0.52,0.4,0.91
Camel,CNN,0.43,0.33,0.37,0.87
Camel,CNN,0.37,0.59,0.45,0.92
Camel,CNN,0.37,0.41,0.39,0.89
Camel,CNN,0.33,0.6,0.42,0.92
