dataname,approach,pd,prec,f1,accuracy
Camel,Farsec,0.35,0.15,0.21,0.75
Camel,Farsec,0.33,0.15,0.2,0.76
Camel,Farsec,0.28,0.14,0.19,0.78
Camel,Farsec,0.28,0.14,0.19,0.78
Camel,Farsec,0.33,0.14,0.19,0.75
Camel,Farsec,0.33,0.15,0.2,0.77
Camel,Farsec,0.33,0.15,0.21,0.77
Camel,Farsec,0.33,0.15,0.2,0.76
Camel,Farsec,0.35,0.17,0.23,0.78
Camel,Farsec,0.3,0.15,0.2,0.78
Camel,Farsec,0.41,0.17,0.24,0.76
Camel,Farsec,0.37,0.15,0.21,0.74
Camel,Farsec,0.28,0.15,0.19,0.78
Camel,Farsec,0.37,0.15,0.22,0.75
Camel,Farsec,0.33,0.15,0.21,0.77
Camel,Farsec,0.33,0.15,0.21,0.77
Camel,Farsec,0.35,0.17,0.23,0.78
Camel,Farsec,0.28,0.12,0.17,0.75
Camel,Farsec,0.3,0.14,0.19,0.77
Camel,Farsec,0.33,0.14,0.2,0.76
Camel,Farsec,0.35,0.15,0.21,0.76
Camel,Farsec,0.37,0.16,0.22,0.76
Camel,Farsec,0.39,0.15,0.22,0.74
Camel,Farsec,0.41,0.16,0.23,0.75
Camel,Farsec,0.37,0.16,0.23,0.77
Camel,Farsec,0.3,0.13,0.18,0.75
Camel,Farsec,0.33,0.17,0.22,0.79
Camel,Farsec,0.35,0.17,0.23,0.78
Camel,Farsec,0.37,0.14,0.2,0.74
Camel,Farsec,0.33,0.15,0.2,0.76
Camel,Farsec,0.39,0.18,0.25,0.78
Camel,Farsec,0.33,0.16,0.21,0.78
Camel,Farsec,0.33,0.16,0.22,0.78
Camel,Farsec,0.33,0.14,0.2,0.76
Camel,Farsec,0.33,0.16,0.22,0.78
Camel,Farsec,0.37,0.16,0.22,0.76
Camel,Farsec,0.35,0.17,0.23,0.78
Camel,Farsec,0.39,0.17,0.23,0.76
Camel,Farsec,0.37,0.15,0.22,0.75
Camel,Farsec,0.35,0.16,0.22,0.77
Camel,Farsec,0.39,0.15,0.21,0.74
Camel,Farsec,0.35,0.16,0.22,0.77
Camel,Farsec,0.39,0.18,0.25,0.78
Camel,Farsec,0.35,0.15,0.21,0.76
Camel,Farsec,0.3,0.14,0.19,0.77
Camel,Farsec,0.3,0.14,0.19,0.77
Camel,Farsec,0.33,0.16,0.21,0.78
Camel,Farsec,0.33,0.15,0.21,0.77
Camel,Farsec,0.33,0.16,0.21,0.78
Camel,Farsec,0.33,0.15,0.21,0.77
