dataname,approach,pd,prec,f1,accuracy
Camel,Mahakil,0.22,0.83,0.34,0.92
Camel,Mahakil,0.33,0.88,0.48,0.93
Camel,Mahakil,0.26,0.8,0.39,0.93
Camel,Mahakil,0.24,0.85,0.37,0.93
Camel,Mahakil,0.37,0.89,0.52,0.94
Camel,Mahakil,0.26,0.86,0.4,0.93
Camel,Mahakil,0.22,0.83,0.34,0.92
Camel,Mahakil,0.24,0.85,0.37,0.93
Camel,Mahakil,0.3,0.82,0.44,0.93
Camel,Mahakil,0.3,0.88,0.45,0.93
Camel,Mahakil,0.24,0.79,0.37,0.92
Camel,Mahakil,0.37,0.85,0.52,0.94
Camel,Mahakil,0.3,0.93,0.46,0.93
Camel,Mahakil,0.35,0.94,0.51,0.94
Camel,Mahakil,0.22,0.91,0.35,0.93
Camel,Mahakil,0.24,0.79,0.37,0.92
Camel,Mahakil,0.28,0.93,0.43,0.93
Camel,Mahakil,0.3,0.88,0.45,0.93
Camel,Mahakil,0.3,0.88,0.45,0.93
Camel,Mahakil,0.2,0.75,0.31,0.92
Camel,Mahakil,0.3,0.93,0.46,0.93
Camel,Mahakil,0.39,0.95,0.55,0.94
Camel,Mahakil,0.28,0.81,0.42,0.93
Camel,Mahakil,0.2,0.82,0.32,0.92
Camel,Mahakil,0.26,0.86,0.4,0.93
Camel,Mahakil,0.24,0.85,0.37,0.93
Camel,Mahakil,0.37,0.81,0.51,0.93
Camel,Mahakil,0.28,0.87,0.43,0.93
Camel,Mahakil,0.24,0.79,0.37,0.92
Camel,Mahakil,0.26,0.86,0.4,0.93
Camel,Mahakil,0.35,0.94,0.51,0.94
Camel,Mahakil,0.24,0.92,0.38,0.93
Camel,Mahakil,0.22,0.83,0.34,0.92
Camel,Mahakil,0.22,0.77,0.34,0.92
Camel,Mahakil,0.26,0.8,0.39,0.93
Camel,Mahakil,0.26,0.92,0.41,0.93
Camel,Mahakil,0.22,0.83,0.34,0.92
Camel,Mahakil,0.35,0.94,0.51,0.94
Camel,Mahakil,0.33,0.83,0.47,0.93
Camel,Mahakil,0.26,0.75,0.39,0.92
Camel,Mahakil,0.33,0.88,0.48,0.93
Camel,Mahakil,0.35,0.89,0.5,0.94
Camel,Mahakil,0.28,0.87,0.43,0.93
Camel,Mahakil,0.35,0.8,0.48,0.93
Camel,Mahakil,0.24,0.85,0.37,0.93
Camel,Mahakil,0.22,0.83,0.34,0.92
Camel,Mahakil,0.3,0.88,0.45,0.93
Camel,Mahakil,0.3,0.88,0.45,0.93
Camel,Mahakil,0.35,0.89,0.5,0.94
Camel,Mahakil,0.3,0.82,0.44,0.93
