dataname,approach,pd,prec,f1,accuracy
Camel,Rose,0.3,0.7,0.42,0.92
Camel,Rose,0.35,0.62,0.44,0.92
Camel,Rose,0.28,0.68,0.4,0.92
Camel,Rose,0.26,0.55,0.35,0.91
Camel,Rose,0.26,0.5,0.34,0.91
Camel,Rose,0.37,0.65,0.47,0.92
Camel,Rose,0.35,0.67,0.46,0.92
Camel,Rose,0.37,0.63,0.47,0.92
Camel,Rose,0.26,0.67,0.38,0.92
Camel,Rose,0.28,0.54,0.37,0.91
Camel,Rose,0.41,0.7,0.52,0.93
Camel,Rose,0.35,0.7,0.46,0.93
Camel,Rose,0.33,0.62,0.43,0.92
Camel,Rose,0.28,0.68,0.4,0.92
Camel,Rose,0.39,0.82,0.53,0.94
Camel,Rose,0.37,0.74,0.49,0.93
Camel,Rose,0.28,0.76,0.41,0.93
Camel,Rose,0.39,0.9,0.55,0.94
Camel,Rose,0.33,0.58,0.42,0.92
Camel,Rose,0.37,0.61,0.46,0.92
Camel,Rose,0.35,0.8,0.48,0.93
Camel,Rose,0.39,0.62,0.48,0.92
Camel,Rose,0.41,0.66,0.51,0.93
Camel,Rose,0.35,0.59,0.44,0.92
Camel,Rose,0.41,0.76,0.54,0.93
Camel,Rose,0.39,0.56,0.46,0.92
Camel,Rose,0.3,0.7,0.42,0.92
Camel,Rose,0.35,0.62,0.44,0.92
Camel,Rose,0.41,0.66,0.51,0.93
Camel,Rose,0.39,0.67,0.49,0.93
Camel,Rose,0.35,0.62,0.44,0.92
Camel,Rose,0.28,0.65,0.39,0.92
Camel,Rose,0.28,0.62,0.39,0.92
Camel,Rose,0.24,0.61,0.34,0.92
Camel,Rose,0.37,0.63,0.47,0.92
Camel,Rose,0.41,0.76,0.54,0.93
Camel,Rose,0.28,0.62,0.39,0.92
Camel,Rose,0.35,0.73,0.47,0.93
Camel,Rose,0.33,0.54,0.41,0.91
Camel,Rose,0.39,0.67,0.49,0.93
Camel,Rose,0.39,0.67,0.49,0.93
Camel,Rose,0.33,0.62,0.43,0.92
Camel,Rose,0.3,0.67,0.42,0.92
Camel,Rose,0.28,0.48,0.36,0.91
Camel,Rose,0.22,0.59,0.32,0.91
Camel,Rose,0.39,0.78,0.52,0.93
Camel,Rose,0.33,0.71,0.45,0.93
Camel,Rose,0.24,0.69,0.35,0.92
Camel,Rose,0.37,0.55,0.44,0.91
Camel,Rose,0.39,0.82,0.53,0.94
