dataname,approach,pd,prec,f1,accuracy
Chromium,CNN,0.77,0.8,0.79,0.99
Chromium,CNN,0.75,0.88,0.81,0.99
Chromium,CNN,0.75,0.83,0.79,0.99
Chromium,CNN,0.75,0.8,0.78,0.99
Chromium,CNN,0.74,0.81,0.77,0.99
Chromium,CNN,0.75,0.82,0.79,0.99
Chromium,CNN,0.72,0.81,0.77,0.99
Chromium,CNN,0.7,0.93,0.8,0.99
Chromium,CNN,0.73,0.93,0.82,0.99
Chromium,CNN,0.72,0.93,0.81,0.99
Chromium,CNN,0.72,0.93,0.81,0.99
Chromium,CNN,0.73,0.93,0.82,0.99
Chromium,CNN,0.72,0.93,0.81,0.99
Chromium,CNN,0.7,0.94,0.8,0.99
Chromium,CNN,0.7,0.93,0.8,0.99
Chromium,CNN,0.69,0.94,0.8,0.99
Chromium,CNN,0.71,0.93,0.81,0.99
Chromium,CNN,0.77,0.8,0.79,0.99
Chromium,CNN,0.75,0.88,0.81,0.99
Chromium,CNN,0.75,0.83,0.79,0.99
Chromium,CNN,0.75,0.8,0.78,0.99
Chromium,CNN,0.74,0.81,0.77,0.99
Chromium,CNN,0.75,0.82,0.79,0.99
Chromium,CNN,0.72,0.81,0.77,0.99
Chromium,CNN,0.7,0.93,0.8,0.99
Chromium,CNN,0.73,0.93,0.82,0.99
Chromium,CNN,0.72,0.93,0.81,0.99
Chromium,CNN,0.72,0.93,0.81,0.99
Chromium,CNN,0.73,0.93,0.82,0.99
Chromium,CNN,0.72,0.93,0.81,0.99
Chromium,CNN,0.7,0.94,0.8,0.99
Chromium,CNN,0.7,0.93,0.8,0.99
Chromium,CNN,0.69,0.94,0.8,0.99
Chromium,CNN,0.71,0.93,0.81,0.99
Chromium,CNN,0.77,0.8,0.79,0.99
Chromium,CNN,0.75,0.88,0.81,0.99
Chromium,CNN,0.75,0.83,0.79,0.99
Chromium,CNN,0.75,0.8,0.78,0.99
Chromium,CNN,0.74,0.81,0.77,0.99
Chromium,CNN,0.75,0.82,0.79,0.99
Chromium,CNN,0.72,0.81,0.77,0.99
Chromium,CNN,0.7,0.93,0.8,0.99
Chromium,CNN,0.73,0.93,0.82,0.99
Chromium,CNN,0.72,0.93,0.81,0.99
Chromium,CNN,0.72,0.93,0.81,0.99
Chromium,CNN,0.73,0.93,0.82,0.99
Chromium,CNN,0.72,0.93,0.81,0.99
Chromium,CNN,0.7,0.94,0.8,0.99
Chromium,CNN,0.7,0.93,0.8,0.99
Chromium,CNN,0.69,0.94,0.8,0.99
