dataname,approach,pd,prec,f1,accuracy
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.73,0.26,0.38,0.95
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.73,0.26,0.38,0.95
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.73,0.26,0.38,0.95
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.73,0.26,0.38,0.95
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.73,0.26,0.38,0.95
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.73,0.26,0.38,0.95
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.73,0.26,0.38,0.95
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.73,0.26,0.38,0.95
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.73,0.26,0.38,0.95
Chromium,Farsec,0.73,0.26,0.38,0.95
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.73,0.26,0.38,0.95
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.73,0.26,0.38,0.95
Chromium,Farsec,0.73,0.26,0.38,0.95
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.73,0.26,0.38,0.95
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.79,0.53,0.63,0.98
Chromium,Farsec,0.79,0.53,0.63,0.98
