dataname,approach,pd,prec,f1,accuracy
Chromium,Mahakil,0.62,0.95,0.75,0.99
Chromium,Mahakil,0.53,0.95,0.68,0.99
Chromium,Mahakil,0.6,0.95,0.73,0.99
Chromium,Mahakil,0.58,0.96,0.72,0.99
Chromium,Mahakil,0.56,0.94,0.71,0.99
Chromium,Mahakil,0.59,0.96,0.73,0.99
Chromium,Mahakil,0.51,0.95,0.66,0.99
Chromium,Mahakil,0.58,0.96,0.72,0.99
Chromium,Mahakil,0.55,0.96,0.7,0.99
Chromium,Mahakil,0.57,0.96,0.72,0.99
Chromium,Mahakil,0.61,0.95,0.74,0.99
Chromium,Mahakil,0.62,0.95,0.75,0.99
Chromium,Mahakil,0.62,0.95,0.75,0.99
Chromium,Mahakil,0.59,0.95,0.73,0.99
Chromium,Mahakil,0.63,0.96,0.76,0.99
Chromium,Mahakil,0.59,0.95,0.72,0.99
Chromium,Mahakil,0.6,0.96,0.74,0.99
Chromium,Mahakil,0.55,0.96,0.7,0.99
Chromium,Mahakil,0.64,0.95,0.76,0.99
Chromium,Mahakil,0.55,0.96,0.7,0.99
Chromium,Mahakil,0.61,0.95,0.75,0.99
Chromium,Mahakil,0.59,0.95,0.72,0.99
Chromium,Mahakil,0.59,0.97,0.73,0.99
Chromium,Mahakil,0.53,0.97,0.69,0.99
Chromium,Mahakil,0.6,0.95,0.73,0.99
Chromium,Mahakil,0.59,0.95,0.73,0.99
Chromium,Mahakil,0.56,0.96,0.71,0.99
Chromium,Mahakil,0.58,0.96,0.72,0.99
Chromium,Mahakil,0.53,0.96,0.69,0.99
Chromium,Mahakil,0.53,0.95,0.68,0.99
Chromium,Mahakil,0.6,0.96,0.74,0.99
Chromium,Mahakil,0.58,0.95,0.72,0.99
Chromium,Mahakil,0.53,0.96,0.69,0.99
Chromium,Mahakil,0.54,0.95,0.69,0.99
Chromium,Mahakil,0.56,0.96,0.71,0.99
Chromium,Mahakil,0.52,0.96,0.68,0.99
Chromium,Mahakil,0.58,0.96,0.72,0.99
Chromium,Mahakil,0.56,0.96,0.71,0.99
Chromium,Mahakil,0.6,0.96,0.74,0.99
Chromium,Mahakil,0.59,0.96,0.73,0.99
Chromium,Mahakil,0.55,0.95,0.69,0.99
Chromium,Mahakil,0.55,0.97,0.7,0.99
Chromium,Mahakil,0.52,0.96,0.67,0.99
Chromium,Mahakil,0.57,0.94,0.71,0.99
Chromium,Mahakil,0.59,0.95,0.73,0.99
Chromium,Mahakil,0.59,0.95,0.73,0.99
Chromium,Mahakil,0.54,0.95,0.68,0.99
Chromium,Mahakil,0.61,0.96,0.75,0.99
Chromium,Mahakil,0.54,0.96,0.69,0.99
Chromium,Mahakil,0.54,0.96,0.69,0.99
