dataname,approach,pd,prec,f1,accuracy
Chromium,Rose,0.63,0.94,0.76,0.99
Chromium,Rose,0.64,0.94,0.76,0.99
Chromium,Rose,0.64,0.92,0.76,0.99
Chromium,Rose,0.64,0.95,0.77,0.99
Chromium,Rose,0.64,0.94,0.76,0.99
Chromium,Rose,0.65,0.95,0.77,0.99
Chromium,Rose,0.65,0.95,0.77,0.99
Chromium,Rose,0.64,0.94,0.76,0.99
Chromium,Rose,0.6,0.96,0.74,0.99
Chromium,Rose,0.59,0.95,0.73,0.99
Chromium,Rose,0.61,0.95,0.74,0.99
Chromium,Rose,0.62,0.95,0.75,0.99
Chromium,Rose,0.66,0.94,0.77,0.99
Chromium,Rose,0.64,0.93,0.76,0.99
Chromium,Rose,0.62,0.95,0.75,0.99
Chromium,Rose,0.64,0.95,0.77,0.99
Chromium,Rose,0.62,0.95,0.75,0.99
Chromium,Rose,0.67,0.93,0.78,0.99
Chromium,Rose,0.64,0.93,0.76,0.99
Chromium,Rose,0.6,0.95,0.73,0.99
Chromium,Rose,0.64,0.95,0.76,0.99
Chromium,Rose,0.63,0.93,0.75,0.99
Chromium,Rose,0.62,0.95,0.75,0.99
Chromium,Rose,0.61,0.92,0.73,0.99
Chromium,Rose,0.62,0.95,0.75,0.99
Chromium,Rose,0.62,0.94,0.74,0.99
Chromium,Rose,0.62,0.95,0.75,0.99
Chromium,Rose,0.61,0.94,0.74,0.99
Chromium,Rose,0.6,0.94,0.73,0.99
Chromium,Rose,0.65,0.96,0.78,0.99
Chromium,Rose,0.58,0.91,0.71,0.99
Chromium,Rose,0.6,0.94,0.74,0.99
Chromium,Rose,0.63,0.95,0.76,0.99
Chromium,Rose,0.65,0.89,0.75,0.99
Chromium,Rose,0.67,0.94,0.78,0.99
Chromium,Rose,0.63,0.95,0.76,0.99
Chromium,Rose,0.66,0.95,0.78,0.99
Chromium,Rose,0.63,0.94,0.75,0.99
Chromium,Rose,0.64,0.95,0.77,0.99
Chromium,Rose,0.66,0.95,0.78,0.99
Chromium,Rose,0.62,0.94,0.75,0.99
Chromium,Rose,0.64,0.95,0.77,0.99
Chromium,Rose,0.62,0.94,0.74,0.99
Chromium,Rose,0.63,0.94,0.76,0.99
Chromium,Rose,0.62,0.94,0.75,0.99
Chromium,Rose,0.62,0.94,0.75,0.99
Chromium,Rose,0.65,0.93,0.76,0.99
Chromium,Rose,0.63,0.95,0.76,0.99
Chromium,Rose,0.59,0.95,0.73,0.99
Chromium,Rose,0.63,0.94,0.75,0.99
