dataname,approach,pd,prec,f1,accuracy
Derby,CNN,0.32,0.42,0.36,0.86
Derby,CNN,0.32,0.4,0.35,0.85
Derby,CNN,0.29,0.43,0.34,0.86
Derby,CNN,0.22,0.42,0.29,0.86
Derby,CNN,0.37,0.43,0.39,0.86
Derby,CNN,0.33,0.46,0.39,0.87
Derby,CNN,0.22,0.48,0.3,0.87
Derby,CNN,0.29,0.42,0.34,0.86
Derby,CNN,0.29,0.46,0.35,0.87
Derby,CNN,0.38,0.53,0.44,0.88
Derby,CNN,0.37,0.52,0.43,0.88
Derby,CNN,0.25,0.47,0.33,0.87
Derby,CNN,0.37,0.5,0.42,0.87
Derby,CNN,0.33,0.48,0.39,0.87
Derby,CNN,0.33,0.4,0.36,0.85
Derby,CNN,0.27,0.38,0.31,0.85
Derby,CNN,0.19,0.55,0.28,0.88
Derby,CNN,0.46,0.48,0.47,0.87
Derby,CNN,0.41,0.48,0.44,0.87
Derby,CNN,0.25,0.4,0.31,0.86
Derby,CNN,0.27,0.45,0.34,0.87
Derby,CNN,0.3,0.4,0.34,0.85
Derby,CNN,0.33,0.45,0.38,0.86
Derby,CNN,0.33,0.44,0.38,0.86
Derby,CNN,0.27,0.55,0.36,0.88
Derby,CNN,0.32,0.44,0.37,0.86
Derby,CNN,0.33,0.44,0.38,0.86
Derby,CNN,0.38,0.45,0.41,0.86
Derby,CNN,0.32,0.37,0.34,0.85
Derby,CNN,0.3,0.45,0.36,0.87
Derby,CNN,0.3,0.58,0.4,0.88
Derby,CNN,0.35,0.43,0.39,0.86
Derby,CNN,0.22,0.5,0.31,0.87
Derby,CNN,0.4,0.45,0.42,0.86
Derby,CNN,0.37,0.53,0.43,0.88
Derby,CNN,0.35,0.5,0.41,0.87
Derby,CNN,0.27,0.46,0.34,0.87
Derby,CNN,0.32,0.48,0.38,0.87
Derby,CNN,0.33,0.46,0.39,0.87
Derby,CNN,0.27,0.47,0.34,0.87
Derby,CNN,0.35,0.55,0.43,0.88
Derby,CNN,0.21,0.39,0.27,0.86
Derby,CNN,0.29,0.47,0.36,0.87
Derby,CNN,0.4,0.42,0.41,0.85
Derby,CNN,0.33,0.5,0.4,0.87
Derby,CNN,0.3,0.46,0.37,0.87
Derby,CNN,0.29,0.46,0.35,0.87
Derby,CNN,0.32,0.43,0.36,0.86
Derby,CNN,0.29,0.45,0.35,0.87
Derby,CNN,0.37,0.57,0.45,0.89
