dataname,approach,pd,prec,f1,accuracy
Derby,Farsec,0.37,0.22,0.27,0.76
Derby,Farsec,0.41,0.24,0.3,0.76
Derby,Farsec,0.35,0.23,0.28,0.77
Derby,Farsec,0.4,0.23,0.29,0.76
Derby,Farsec,0.37,0.22,0.28,0.76
Derby,Farsec,0.4,0.2,0.27,0.73
Derby,Farsec,0.4,0.23,0.29,0.76
Derby,Farsec,0.4,0.21,0.28,0.74
Derby,Farsec,0.38,0.22,0.28,0.75
Derby,Farsec,0.43,0.23,0.3,0.75
Derby,Farsec,0.43,0.24,0.31,0.75
Derby,Farsec,0.43,0.24,0.31,0.76
Derby,Farsec,0.35,0.21,0.26,0.75
Derby,Farsec,0.4,0.22,0.29,0.75
Derby,Farsec,0.37,0.23,0.28,0.77
Derby,Farsec,0.4,0.26,0.31,0.78
Derby,Farsec,0.4,0.24,0.3,0.76
Derby,Farsec,0.35,0.2,0.26,0.74
Derby,Farsec,0.38,0.23,0.28,0.76
Derby,Farsec,0.37,0.22,0.27,0.75
Derby,Farsec,0.3,0.2,0.24,0.76
Derby,Farsec,0.4,0.24,0.3,0.77
Derby,Farsec,0.38,0.22,0.28,0.75
Derby,Farsec,0.43,0.2,0.28,0.72
Derby,Farsec,0.38,0.22,0.28,0.75
Derby,Farsec,0.41,0.23,0.29,0.75
Derby,Farsec,0.37,0.22,0.28,0.76
Derby,Farsec,0.38,0.22,0.28,0.75
Derby,Farsec,0.35,0.21,0.26,0.75
Derby,Farsec,0.38,0.23,0.29,0.76
Derby,Farsec,0.38,0.22,0.28,0.75
Derby,Farsec,0.41,0.24,0.3,0.76
Derby,Farsec,0.38,0.23,0.28,0.76
Derby,Farsec,0.37,0.22,0.27,0.75
Derby,Farsec,0.35,0.21,0.26,0.75
Derby,Farsec,0.41,0.23,0.3,0.75
Derby,Farsec,0.4,0.25,0.3,0.77
Derby,Farsec,0.38,0.24,0.3,0.77
Derby,Farsec,0.38,0.23,0.28,0.76
Derby,Farsec,0.38,0.23,0.29,0.76
Derby,Farsec,0.4,0.22,0.28,0.75
Derby,Farsec,0.38,0.21,0.27,0.75
Derby,Farsec,0.38,0.22,0.28,0.75
Derby,Farsec,0.44,0.25,0.32,0.76
Derby,Farsec,0.44,0.25,0.32,0.76
Derby,Farsec,0.38,0.23,0.28,0.76
Derby,Farsec,0.4,0.24,0.3,0.77
Derby,Farsec,0.4,0.24,0.3,0.76
Derby,Farsec,0.4,0.23,0.29,0.76
Derby,Farsec,0.38,0.22,0.28,0.75
