dataname,approach,pd,prec,f1,accuracy
Derby,Mahakil,0.13,0.67,0.21,0.88
Derby,Mahakil,0.13,0.62,0.21,0.88
Derby,Mahakil,0.11,0.54,0.18,0.88
Derby,Mahakil,0.14,0.69,0.24,0.88
Derby,Mahakil,0.17,0.69,0.28,0.89
Derby,Mahakil,0.14,0.56,0.23,0.88
Derby,Mahakil,0.16,0.62,0.25,0.88
Derby,Mahakil,0.13,0.62,0.21,0.88
Derby,Mahakil,0.13,0.73,0.22,0.88
Derby,Mahakil,0.1,0.46,0.16,0.87
Derby,Mahakil,0.17,0.65,0.28,0.88
Derby,Mahakil,0.16,0.59,0.25,0.88
Derby,Mahakil,0.16,0.56,0.25,0.88
Derby,Mahakil,0.17,0.61,0.27,0.88
Derby,Mahakil,0.16,0.59,0.25,0.88
Derby,Mahakil,0.13,0.62,0.21,0.88
Derby,Mahakil,0.14,0.6,0.23,0.88
Derby,Mahakil,0.14,0.6,0.23,0.88
Derby,Mahakil,0.16,0.67,0.26,0.88
Derby,Mahakil,0.17,0.65,0.28,0.88
Derby,Mahakil,0.17,0.73,0.28,0.89
Derby,Mahakil,0.17,0.58,0.27,0.88
Derby,Mahakil,0.16,0.67,0.26,0.88
Derby,Mahakil,0.16,0.56,0.25,0.88
Derby,Mahakil,0.16,0.67,0.26,0.88
Derby,Mahakil,0.13,0.62,0.21,0.88
Derby,Mahakil,0.17,0.79,0.29,0.89
Derby,Mahakil,0.19,0.67,0.3,0.89
Derby,Mahakil,0.16,0.56,0.25,0.88
Derby,Mahakil,0.11,0.54,0.18,0.88
Derby,Mahakil,0.14,0.64,0.23,0.88
Derby,Mahakil,0.14,0.5,0.22,0.87
Derby,Mahakil,0.14,0.6,0.23,0.88
Derby,Mahakil,0.14,0.5,0.22,0.87
Derby,Mahakil,0.16,0.67,0.26,0.88
Derby,Mahakil,0.13,0.67,0.21,0.88
Derby,Mahakil,0.14,0.75,0.24,0.89
Derby,Mahakil,0.14,0.56,0.23,0.88
Derby,Mahakil,0.14,0.69,0.24,0.88
Derby,Mahakil,0.17,0.73,0.28,0.89
Derby,Mahakil,0.13,0.62,0.21,0.88
Derby,Mahakil,0.13,0.53,0.21,0.88
Derby,Mahakil,0.17,0.69,0.28,0.89
Derby,Mahakil,0.16,0.62,0.25,0.88
Derby,Mahakil,0.16,0.77,0.26,0.89
Derby,Mahakil,0.16,0.59,0.25,0.88
Derby,Mahakil,0.16,0.62,0.25,0.88
Derby,Mahakil,0.17,0.69,0.28,0.89
Derby,Mahakil,0.14,0.64,0.23,0.88
Derby,Mahakil,0.14,0.64,0.23,0.88
