dataname,approach,pd,prec,f1,accuracy
Derby,Rose,0.17,0.39,0.24,0.86
Derby,Rose,0.24,0.52,0.33,0.88
Derby,Rose,0.21,0.45,0.28,0.87
Derby,Rose,0.21,0.45,0.28,0.87
Derby,Rose,0.21,0.45,0.28,0.87
Derby,Rose,0.17,0.39,0.24,0.86
Derby,Rose,0.25,0.47,0.33,0.87
Derby,Rose,0.19,0.41,0.26,0.86
Derby,Rose,0.25,0.47,0.33,0.87
Derby,Rose,0.24,0.39,0.3,0.86
Derby,Rose,0.24,0.41,0.3,0.86
Derby,Rose,0.21,0.48,0.29,0.87
Derby,Rose,0.25,0.47,0.33,0.87
Derby,Rose,0.22,0.44,0.29,0.87
Derby,Rose,0.19,0.46,0.27,0.87
Derby,Rose,0.19,0.35,0.25,0.85
Derby,Rose,0.22,0.48,0.3,0.87
Derby,Rose,0.22,0.52,0.31,0.88
Derby,Rose,0.24,0.45,0.31,0.87
Derby,Rose,0.17,0.52,0.26,0.88
Derby,Rose,0.24,0.37,0.29,0.85
Derby,Rose,0.22,0.4,0.29,0.86
Derby,Rose,0.24,0.5,0.32,0.87
Derby,Rose,0.22,0.42,0.29,0.86
Derby,Rose,0.17,0.38,0.24,0.86
Derby,Rose,0.29,0.43,0.34,0.86
Derby,Rose,0.21,0.42,0.28,0.86
Derby,Rose,0.21,0.43,0.28,0.87
Derby,Rose,0.22,0.48,0.3,0.87
Derby,Rose,0.22,0.44,0.29,0.87
Derby,Rose,0.19,0.44,0.27,0.87
Derby,Rose,0.25,0.46,0.33,0.87
Derby,Rose,0.22,0.39,0.28,0.86
Derby,Rose,0.21,0.42,0.28,0.86
Derby,Rose,0.19,0.5,0.28,0.87
Derby,Rose,0.25,0.48,0.33,0.87
Derby,Rose,0.24,0.54,0.33,0.88
Derby,Rose,0.25,0.47,0.33,0.87
Derby,Rose,0.21,0.5,0.29,0.87
Derby,Rose,0.21,0.46,0.29,0.87
Derby,Rose,0.24,0.41,0.3,0.86
Derby,Rose,0.21,0.42,0.28,0.86
Derby,Rose,0.19,0.48,0.27,0.87
Derby,Rose,0.24,0.52,0.33,0.88
Derby,Rose,0.19,0.43,0.26,0.87
Derby,Rose,0.19,0.38,0.25,0.86
Derby,Rose,0.24,0.43,0.31,0.86
Derby,Rose,0.25,0.57,0.35,0.88
Derby,Rose,0.21,0.46,0.29,0.87
Derby,Rose,0.24,0.44,0.31,0.87
