dataname,approach,pd,prec,f1,accuracy,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,54,34,41356,59,0.61,0.48,0.54,1
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
OpenStack,CNN,0.61,0.48,0.54,1,,,,,,,,,
