dataname,approach,pd,prec,f1,accuracy
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.38,0.05,0.08,0.98
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.38,0.05,0.08,0.98
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.38,0.05,0.08,0.98
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.38,0.05,0.08,0.98
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.38,0.05,0.08,0.98
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.38,0.05,0.08,0.98
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.38,0.05,0.08,0.98
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.38,0.05,0.08,0.98
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.38,0.05,0.08,0.98
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.38,0.05,0.08,0.98
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.38,0.05,0.08,0.98
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.38,0.05,0.08,0.98
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.66,0.18,0.28,0.99
OpenStack,Farsec,0.66,0.18,0.28,0.99
