dataname,approach,pd,prec,f1,accuracy
OpenStack,Mahakil,0.22,0.76,0.34,1.0
OpenStack,Mahakil,0.23,0.74,0.35,1.0
OpenStack,Mahakil,0.28,0.81,0.42,1.0
OpenStack,Mahakil,0.22,0.83,0.34,1.0
OpenStack,Mahakil,0.26,0.79,0.39,1.0
OpenStack,Mahakil,0.23,0.74,0.35,1.0
OpenStack,Mahakil,0.28,0.83,0.42,1.0
OpenStack,Mahakil,0.26,0.82,0.4,1.0
OpenStack,Mahakil,0.24,0.88,0.37,1.0
OpenStack,Mahakil,0.26,0.88,0.4,1.0
OpenStack,Mahakil,0.26,0.79,0.39,1.0
OpenStack,Mahakil,0.28,0.83,0.42,1.0
OpenStack,Mahakil,0.25,0.85,0.39,1.0
OpenStack,Mahakil,0.35,0.86,0.5,1.0
OpenStack,Mahakil,0.24,0.91,0.38,1.0
OpenStack,Mahakil,0.28,0.78,0.42,1.0
OpenStack,Mahakil,0.27,0.77,0.4,1.0
OpenStack,Mahakil,0.27,0.8,0.41,1.0
OpenStack,Mahakil,0.22,0.86,0.35,1.0
OpenStack,Mahakil,0.27,0.77,0.4,1.0
OpenStack,Mahakil,0.3,0.81,0.43,1.0
OpenStack,Mahakil,0.23,0.83,0.36,1.0
OpenStack,Mahakil,0.25,0.73,0.37,1.0
OpenStack,Mahakil,0.25,0.79,0.38,1.0
OpenStack,Mahakil,0.3,0.84,0.44,1.0
OpenStack,Mahakil,0.25,0.79,0.38,1.0
OpenStack,Mahakil,0.28,0.83,0.42,1.0
OpenStack,Mahakil,0.25,0.79,0.38,1.0
OpenStack,Mahakil,0.22,0.83,0.34,1.0
OpenStack,Mahakil,0.25,0.81,0.38,1.0
OpenStack,Mahakil,0.27,0.8,0.41,1.0
OpenStack,Mahakil,0.27,0.83,0.41,1.0
OpenStack,Mahakil,0.23,0.87,0.36,1.0
OpenStack,Mahakil,0.27,0.83,0.41,1.0
OpenStack,Mahakil,0.24,0.88,0.37,1.0
OpenStack,Mahakil,0.31,0.84,0.45,1.0
OpenStack,Mahakil,0.22,0.83,0.34,1.0
OpenStack,Mahakil,0.24,0.75,0.36,1.0
OpenStack,Mahakil,0.3,0.76,0.43,1.0
OpenStack,Mahakil,0.28,0.81,0.42,1.0
OpenStack,Mahakil,0.25,0.88,0.39,1.0
OpenStack,Mahakil,0.24,0.75,0.36,1.0
OpenStack,Mahakil,0.25,0.81,0.38,1.0
OpenStack,Mahakil,0.26,0.82,0.4,1.0
OpenStack,Mahakil,0.3,0.81,0.43,1.0
OpenStack,Mahakil,0.26,0.74,0.39,1.0
OpenStack,Mahakil,0.28,0.86,0.43,1.0
OpenStack,Mahakil,0.28,0.86,0.43,1.0
OpenStack,Mahakil,0.32,0.8,0.46,1.0
OpenStack,Mahakil,0.27,0.77,0.4,1.0
