dataname,approach,pd,prec,f1,accuracy
OpenStack,Rose,0.39,0.13,0.2,0.99
OpenStack,Rose,0.36,0.12,0.18,0.99
OpenStack,Rose,0.33,0.1,0.16,0.99
OpenStack,Rose,0.36,0.11,0.17,0.99
OpenStack,Rose,0.39,0.12,0.18,0.99
OpenStack,Rose,0.38,0.12,0.18,0.99
OpenStack,Rose,0.39,0.12,0.19,0.99
OpenStack,Rose,0.42,0.14,0.21,0.99
OpenStack,Rose,0.32,0.1,0.15,0.99
OpenStack,Rose,0.32,0.1,0.16,0.99
OpenStack,Rose,0.34,0.11,0.17,0.99
OpenStack,Rose,0.36,0.11,0.17,0.99
OpenStack,Rose,0.34,0.11,0.16,0.99
OpenStack,Rose,0.28,0.1,0.14,0.99
OpenStack,Rose,0.28,0.1,0.14,0.99
OpenStack,Rose,0.35,0.12,0.17,0.99
OpenStack,Rose,0.34,0.11,0.16,0.99
OpenStack,Rose,0.38,0.12,0.18,0.99
OpenStack,Rose,0.33,0.1,0.16,0.99
OpenStack,Rose,0.39,0.12,0.19,0.99
OpenStack,Rose,0.36,0.11,0.17,0.99
OpenStack,Rose,0.36,0.11,0.17,0.99
OpenStack,Rose,0.4,0.12,0.19,0.99
OpenStack,Rose,0.3,0.09,0.14,0.99
OpenStack,Rose,0.42,0.13,0.2,0.99
OpenStack,Rose,0.35,0.1,0.16,0.99
OpenStack,Rose,0.3,0.09,0.14,0.99
OpenStack,Rose,0.34,0.11,0.16,0.99
OpenStack,Rose,0.33,0.11,0.16,0.99
OpenStack,Rose,0.27,0.09,0.14,0.99
OpenStack,Rose,0.35,0.11,0.16,0.99
OpenStack,Rose,0.4,0.12,0.19,0.99
OpenStack,Rose,0.31,0.1,0.15,0.99
OpenStack,Rose,0.38,0.11,0.18,0.99
OpenStack,Rose,0.32,0.1,0.16,0.99
OpenStack,Rose,0.38,0.11,0.17,0.99
OpenStack,Rose,0.33,0.1,0.16,0.99
OpenStack,Rose,0.3,0.1,0.15,0.99
OpenStack,Rose,0.36,0.11,0.17,0.99
OpenStack,Rose,0.41,0.13,0.2,0.99
OpenStack,Rose,0.36,0.12,0.18,0.99
OpenStack,Rose,0.33,0.1,0.16,0.99
OpenStack,Rose,0.39,0.12,0.18,0.99
OpenStack,Rose,0.4,0.12,0.19,0.99
OpenStack,Rose,0.4,0.12,0.18,0.99
OpenStack,Rose,0.39,0.12,0.18,0.99
OpenStack,Rose,0.39,0.12,0.18,0.99
OpenStack,Rose,0.32,0.1,0.16,0.99
OpenStack,Rose,0.44,0.14,0.21,0.99
OpenStack,Rose,0.36,0.11,0.17,0.99
