dataname,approach,pd,prec,f1,accuracy
Wicket,CNN,0.43,0.48,0.45,0.95
Wicket,CNN,0.52,0.52,0.52,0.96
Wicket,CNN,0.43,0.71,0.54,0.97
Wicket,CNN,0.48,0.73,0.58,0.97
Wicket,CNN,0.43,0.59,0.5,0.96
Wicket,CNN,0.39,0.64,0.49,0.96
Wicket,CNN,0.35,0.53,0.42,0.96
Wicket,CNN,0.43,0.77,0.56,0.97
Wicket,CNN,0.43,0.83,0.57,0.97
Wicket,CNN,0.43,0.37,0.4,0.94
Wicket,CNN,0.48,0.73,0.58,0.97
Wicket,CNN,0.48,0.52,0.5,0.96
Wicket,CNN,0.48,0.85,0.61,0.97
Wicket,CNN,0.43,0.77,0.56,0.97
Wicket,CNN,0.3,0.47,0.37,0.95
Wicket,CNN,0.52,0.75,0.62,0.97
Wicket,CNN,0.48,0.55,0.51,0.96
Wicket,CNN,0.43,0.83,0.57,0.97
Wicket,CNN,0.35,0.47,0.4,0.95
Wicket,CNN,0.39,0.45,0.42,0.95
Wicket,CNN,0.52,0.71,0.6,0.97
Wicket,CNN,0.43,0.56,0.49,0.96
Wicket,CNN,0.48,0.69,0.56,0.97
Wicket,CNN,0.35,0.8,0.48,0.97
Wicket,CNN,0.39,0.53,0.45,0.96
Wicket,CNN,0.48,0.92,0.63,0.97
Wicket,CNN,0.43,0.62,0.51,0.96
Wicket,CNN,0.48,0.73,0.58,0.97
Wicket,CNN,0.48,0.73,0.58,0.97
Wicket,CNN,0.48,0.61,0.54,0.96
Wicket,CNN,0.39,0.5,0.44,0.95
Wicket,CNN,0.43,0.5,0.47,0.95
Wicket,CNN,0.43,0.56,0.49,0.96
Wicket,CNN,0.39,0.64,0.49,0.96
Wicket,CNN,0.43,0.4,0.42,0.94
Wicket,CNN,0.39,0.38,0.38,0.94
Wicket,CNN,0.43,0.77,0.56,0.97
Wicket,CNN,0.48,0.65,0.55,0.96
Wicket,CNN,0.39,0.5,0.44,0.95
Wicket,CNN,0.48,0.69,0.56,0.97
Wicket,CNN,0.39,0.69,0.5,0.96
Wicket,CNN,0.43,0.59,0.5,0.96
Wicket,CNN,0.43,0.77,0.56,0.97
Wicket,CNN,0.52,0.71,0.6,0.97
Wicket,CNN,0.48,0.61,0.54,0.96
Wicket,CNN,0.35,0.73,0.47,0.96
Wicket,CNN,0.35,0.73,0.47,0.96
Wicket,CNN,0.52,0.6,0.56,0.96
Wicket,CNN,0.43,0.62,0.51,0.96
Wicket,CNN,0.39,0.36,0.37,0.94
