dataname,approach,pd,prec,f1,accuracy
Wicket,Farsec,0.43,0.3,0.36,0.93
Wicket,Farsec,0.35,0.29,0.31,0.93
Wicket,Farsec,0.35,0.29,0.31,0.93
Wicket,Farsec,0.43,0.36,0.39,0.94
Wicket,Farsec,0.39,0.31,0.35,0.93
Wicket,Farsec,0.43,0.31,0.36,0.93
Wicket,Farsec,0.39,0.35,0.37,0.94
Wicket,Farsec,0.39,0.33,0.36,0.94
Wicket,Farsec,0.35,0.24,0.29,0.92
Wicket,Farsec,0.43,0.36,0.39,0.94
Wicket,Farsec,0.39,0.29,0.33,0.93
Wicket,Farsec,0.43,0.33,0.38,0.93
Wicket,Farsec,0.43,0.34,0.38,0.94
Wicket,Farsec,0.35,0.31,0.33,0.93
Wicket,Farsec,0.39,0.3,0.34,0.93
Wicket,Farsec,0.35,0.28,0.31,0.93
Wicket,Farsec,0.39,0.36,0.37,0.94
Wicket,Farsec,0.43,0.33,0.38,0.93
Wicket,Farsec,0.43,0.36,0.39,0.94
Wicket,Farsec,0.35,0.27,0.3,0.93
Wicket,Farsec,0.35,0.29,0.31,0.93
Wicket,Farsec,0.35,0.31,0.33,0.93
Wicket,Farsec,0.35,0.31,0.33,0.93
Wicket,Farsec,0.43,0.3,0.36,0.93
Wicket,Farsec,0.35,0.28,0.31,0.93
Wicket,Farsec,0.43,0.29,0.35,0.93
Wicket,Farsec,0.39,0.29,0.33,0.93
Wicket,Farsec,0.43,0.3,0.36,0.93
Wicket,Farsec,0.35,0.31,0.33,0.93
Wicket,Farsec,0.39,0.31,0.35,0.93
Wicket,Farsec,0.43,0.36,0.39,0.94
Wicket,Farsec,0.43,0.33,0.38,0.93
Wicket,Farsec,0.39,0.31,0.35,0.93
Wicket,Farsec,0.35,0.28,0.31,0.93
Wicket,Farsec,0.43,0.33,0.38,0.93
Wicket,Farsec,0.39,0.33,0.36,0.94
Wicket,Farsec,0.39,0.33,0.36,0.94
Wicket,Farsec,0.39,0.33,0.36,0.94
Wicket,Farsec,0.39,0.33,0.36,0.94
Wicket,Farsec,0.35,0.3,0.32,0.93
Wicket,Farsec,0.35,0.31,0.33,0.93
Wicket,Farsec,0.3,0.27,0.29,0.93
Wicket,Farsec,0.39,0.29,0.33,0.93
Wicket,Farsec,0.35,0.31,0.33,0.93
Wicket,Farsec,0.43,0.37,0.4,0.94
Wicket,Farsec,0.43,0.31,0.36,0.93
Wicket,Farsec,0.35,0.3,0.32,0.93
Wicket,Farsec,0.39,0.33,0.36,0.94
Wicket,Farsec,0.39,0.33,0.36,0.94
Wicket,Farsec,0.43,0.37,0.4,0.94
