dataname,approach,pd,prec,f1,accuracy
Wicket,Mahakil,0.3,1.0,0.47,0.97
Wicket,Mahakil,0.22,1.0,0.36,0.96
Wicket,Mahakil,0.26,1.0,0.41,0.97
Wicket,Mahakil,0.35,1.0,0.52,0.97
Wicket,Mahakil,0.43,0.91,0.59,0.97
Wicket,Mahakil,0.13,1.0,0.23,0.96
Wicket,Mahakil,0.43,1.0,0.61,0.97
Wicket,Mahakil,0.39,1.0,0.56,0.97
Wicket,Mahakil,0.17,1.0,0.3,0.96
Wicket,Mahakil,0.13,1.0,0.23,0.96
Wicket,Mahakil,0.22,1.0,0.36,0.96
Wicket,Mahakil,0.22,1.0,0.36,0.96
Wicket,Mahakil,0.22,1.0,0.36,0.96
Wicket,Mahakil,0.17,1.0,0.3,0.96
Wicket,Mahakil,0.35,1.0,0.52,0.97
Wicket,Mahakil,0.22,1.0,0.36,0.96
Wicket,Mahakil,0.26,1.0,0.41,0.97
Wicket,Mahakil,0.3,1.0,0.47,0.97
Wicket,Mahakil,0.13,1.0,0.23,0.96
Wicket,Mahakil,0.17,1.0,0.3,0.96
Wicket,Mahakil,0.39,1.0,0.56,0.97
Wicket,Mahakil,0.43,1.0,0.61,0.97
Wicket,Mahakil,0.39,1.0,0.56,0.97
Wicket,Mahakil,0.09,1.0,0.16,0.96
Wicket,Mahakil,0.43,1.0,0.61,0.97
Wicket,Mahakil,0.09,1.0,0.16,0.96
Wicket,Mahakil,0.39,1.0,0.56,0.97
Wicket,Mahakil,0.35,1.0,0.52,0.97
Wicket,Mahakil,0.17,1.0,0.3,0.96
Wicket,Mahakil,0.39,1.0,0.56,0.97
Wicket,Mahakil,0.35,0.89,0.5,0.97
Wicket,Mahakil,0.13,0.75,0.22,0.96
Wicket,Mahakil,0.43,1.0,0.61,0.97
Wicket,Mahakil,0.39,1.0,0.56,0.97
Wicket,Mahakil,0.22,1.0,0.36,0.96
Wicket,Mahakil,0.39,1.0,0.56,0.97
Wicket,Mahakil,0.13,1.0,0.23,0.96
Wicket,Mahakil,0.3,1.0,0.47,0.97
Wicket,Mahakil,0.35,1.0,0.52,0.97
Wicket,Mahakil,0.22,1.0,0.36,0.96
Wicket,Mahakil,0.35,1.0,0.52,0.97
Wicket,Mahakil,0.35,1.0,0.52,0.97
Wicket,Mahakil,0.13,1.0,0.23,0.96
Wicket,Mahakil,0.17,1.0,0.3,0.96
Wicket,Mahakil,0.13,1.0,0.23,0.96
Wicket,Mahakil,0.09,0.5,0.15,0.95
Wicket,Mahakil,0.13,1.0,0.23,0.96
Wicket,Mahakil,0.26,1.0,0.41,0.97
Wicket,Mahakil,0.35,1.0,0.52,0.97
Wicket,Mahakil,0.3,0.88,0.45,0.97
