dataname,approach,pd,prec,f1,accuracy
Wicket,Rose,0.39,0.6,0.47,0.96
Wicket,Rose,0.39,0.64,0.49,0.96
Wicket,Rose,0.3,0.58,0.4,0.96
Wicket,Rose,0.48,0.69,0.56,0.97
Wicket,Rose,0.43,0.71,0.54,0.97
Wicket,Rose,0.48,0.65,0.55,0.96
Wicket,Rose,0.43,0.62,0.51,0.96
Wicket,Rose,0.35,0.73,0.47,0.96
Wicket,Rose,0.48,0.73,0.58,0.97
Wicket,Rose,0.48,0.73,0.58,0.97
Wicket,Rose,0.39,0.64,0.49,0.96
Wicket,Rose,0.39,0.6,0.47,0.96
Wicket,Rose,0.43,0.77,0.56,0.97
Wicket,Rose,0.43,0.67,0.53,0.96
Wicket,Rose,0.39,0.69,0.5,0.96
Wicket,Rose,0.43,0.62,0.51,0.96
Wicket,Rose,0.43,0.67,0.53,0.96
Wicket,Rose,0.43,0.59,0.5,0.96
Wicket,Rose,0.3,0.58,0.4,0.96
Wicket,Rose,0.48,0.65,0.55,0.96
Wicket,Rose,0.43,0.71,0.54,0.97
Wicket,Rose,0.48,0.73,0.58,0.97
Wicket,Rose,0.48,0.69,0.56,0.97
Wicket,Rose,0.48,0.58,0.52,0.96
Wicket,Rose,0.48,0.79,0.59,0.97
Wicket,Rose,0.39,0.64,0.49,0.96
Wicket,Rose,0.39,0.64,0.49,0.96
Wicket,Rose,0.48,0.73,0.58,0.97
Wicket,Rose,0.43,0.71,0.54,0.97
Wicket,Rose,0.43,0.77,0.56,0.97
Wicket,Rose,0.35,0.67,0.46,0.96
Wicket,Rose,0.48,0.65,0.55,0.96
Wicket,Rose,0.48,0.73,0.58,0.97
Wicket,Rose,0.35,0.67,0.46,0.96
Wicket,Rose,0.39,0.64,0.49,0.96
Wicket,Rose,0.48,0.61,0.54,0.96
Wicket,Rose,0.39,0.75,0.51,0.97
Wicket,Rose,0.48,0.69,0.56,0.97
Wicket,Rose,0.43,0.77,0.56,0.97
Wicket,Rose,0.35,0.67,0.46,0.96
Wicket,Rose,0.48,0.73,0.58,0.97
Wicket,Rose,0.43,0.71,0.54,0.97
Wicket,Rose,0.39,0.69,0.5,0.96
Wicket,Rose,0.39,0.75,0.51,0.97
Wicket,Rose,0.48,0.85,0.61,0.97
Wicket,Rose,0.39,0.75,0.51,0.97
Wicket,Rose,0.39,0.6,0.47,0.96
Wicket,Rose,0.35,0.62,0.44,0.96
Wicket,Rose,0.48,0.65,0.55,0.96
Wicket,Rose,0.26,0.6,0.36,0.96
